time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9999999999999991,0.9999999999999991,3.1415926535897905,1.047197551196597,1.5707963267948952,-0.5235987755982985,1.227772386374192,-1.4306768725305319,0.9999999999999991,3.9999999999999964,-3.9999999999999964,-0.947721602131111,0.9758974493306047,0.9999999999999991,2.7182818284590424,2.159766253784913,-4.9999999999999964,8.999999999999993,-1.6094379124340987,0.0,-0.6989700043360181,0.0,0.9999999999999991,3.9999999999999964,5.562281727754391,15.999999999999986,9.609999999999994,1.9999999999999982,2.7202941017470867,0.863209366648873,0.0,0.37387666483023574,0.0,2.014338214476826,0.29100619138474887,0.0,0.8040623914048913,-0.9999877116507946
2.0,1.9999999999977827,1.9999999999977827,6.283185307172619,2.094395102390873,3.1415926535863097,-1.0471975511954366,2.455544772745664,-2.861353745057894,1.9999999999977827,7.999999999991131,-7.999999999991131,-1.8954432042601221,1.9517948986590472,1.9999999999977827,5.436563656912064,4.319532507565042,-9.999999999988912,17.999999999980044,-3.218875824864632,0.0,-1.3979400086704876,0.0,1.9999999999977827,7.999999999991131,11.124563455496457,31.999999999964523,19.219999999978697,3.9999999999955653,5.440588203488145,1.7264187332958334,0.0,0.747753329659643,0.0,4.028676428949188,0.582012382768853,0.0,1.6081247828080012,-1.9999754232993738
3.0,2.9999999999999987,2.9999999999999987,9.424777960769376,3.1415926535897922,4.712388980384688,-1.5707963267948961,3.6833171591225775,-4.292030617591598,2.9999999999999987,11.999999999999995,-11.999999999999995,-2.843164806393334,2.9276923479918153,2.9999999999999987,8.154845485377132,6.47929876135474,-14.999999999999995,26.999999999999986,-4.828313737302299,0.0,-2.0969100130080554,0.0,2.9999999999999987,11.999999999999995,16.686845183263177,47.99999999999998,28.82999999999999,5.999999999999997,8.160882305241262,2.58962809994662,0.0,1.1216299944907078,0.0,6.04301464343048,0.8730185741542469,0.0,2.412187174214675,-2.9999631349523854
4.0,4.000000000000049,4.000000000000049,12.566370614359325,4.188790204786442,6.283185307179663,-2.094395102393221,4.911089545496832,-5.722707490122202,4.000000000000049,16.000000000000195,-16.000000000000195,-3.790886408524493,3.9035897973224705,4.000000000000049,10.873127313836314,8.639065015139764,-20.000000000000245,36.00000000000044,-6.437751649736478,0.0,-2.795880017344109,0.0,4.000000000000049,16.000000000000195,22.249126911017854,64.00000000000078,38.44000000000048,8.000000000000098,10.881176406988487,3.452837466595537,0.0,1.4955066593209625,0.0,8.057352857907409,1.1640247655390106,0.0,3.2162495656196075,-3.9999508466032303
5.0,4.999999999999231,4.999999999999231,15.707963267946548,5.2359877559821815,7.853981633973274,-2.6179938779910907,6.138861931870021,-7.153384362651564,4.999999999999231,19.999999999996923,-19.999999999996923,-4.738608010654828,4.8794872466522765,4.999999999999231,13.591409142293129,10.79883126892291,-24.99999999999615,44.999999999993065,-8.047189562169262,0.0,-3.494850021679556,0.0,4.999999999999231,19.999999999996923,27.81140863876769,79.9999999999877,48.04999999999259,9.999999999998462,13.601470508733346,4.316046833243704,0.0,1.869383324150892,0.0,10.071691072382587,1.4550309569235211,0.0,4.02031195702384,-4.999938558253208
6.0,5.999999999994636,5.999999999994636,18.84955592152191,6.283185307173972,9.424777960760956,-3.141592653586986,7.3666343182385745,-8.584061235175525,5.999999999994636,23.999999999978545,-23.999999999978545,-5.686329612781589,5.855384695978399,5.999999999994636,16.30969097073969,12.958597522697906,-29.999999999973188,53.999999999951726,-9.65662747459597,0.0,-4.193820026012364,0.0,5.999999999994636,23.999999999978545,33.37369036649655,95.99999999991418,57.65999999994846,11.999999999989273,16.321764610467945,5.179256199888613,0.0,2.2432599889794114,0.0,12.086029286850163,1.7460371483069337,0.0,4.82437434842504,-5.999926269899411
7.0,6.999999999999997,6.999999999999997,21.99114857512854,7.330382858376183,10.99557428756427,-3.6651914291880914,8.594406704619349,-10.014738107713729,6.999999999999997,27.99999999999999,-27.99999999999999,-6.634051214917781,6.831282145314236,6.999999999999997,19.027972799213305,15.118363776494398,-34.99999999999999,62.99999999999998,-11.266065387038697,0.0,-4.89279003035213,0.0,6.999999999999997,27.99999999999999,38.93597209428076,111.99999999999996,67.27,13.999999999999995,19.042058712229615,6.0424655665421145,0.0,2.6171366538116514,0.0,14.10036750133779,2.037043339693243,0.0,5.6284367398342425,-6.999913981555567
8.0,7.999999999999771,7.999999999999771,25.132741228717627,8.377580409572543,12.566370614358814,-4.1887902047862715,9.822179090993265,-11.445414980243937,7.999999999999771,31.999999999999083,-31.999999999999083,-7.5817728170486784,7.807179594644621,7.999999999999771,21.746254627671735,17.278130030278824,-39.99999999999886,71.99999999999794,-12.875503299472433,0.0,-5.591760034687991,0.0,7.999999999999771,31.999999999999083,44.498253822033895,127.99999999999633,76.87999999999782,15.999999999999542,21.762352813976086,6.9056749331907925,0.0,2.9910133186418033,0.0,16.11470571581416,2.3280495310779266,0.0,6.432499131238952,-7.999901693206136
9.0,8.999999999999595,8.999999999999595,28.274333882306873,9.424777960768958,14.137166941153437,-4.712388980384479,11.049951477367244,-12.876091852774223,8.999999999999595,35.99999999999838,-35.99999999999838,-8.529494419179624,8.783077043975055,8.999999999999595,24.464536456130308,19.437896284063363,-44.99999999999799,80.99999999999636,-14.484941211906253,0.0,-6.290730039023888,0.0,8.999999999999595,35.99999999999838,50.06053554978732,143.99999999999352,86.48999999999614,17.99999999999919,24.482646915722704,7.768884299839515,0.0,3.3648899834719734,0.0,18.12904393029064,2.6190557224626243,0.0,7.236561522643704,-8.999889404856757
