time,S1_,S2_,S3_,S4_
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7
0.04,9.389597080208828e-7,1.4389597080208828e-6,2.061040291979117e-6,5.610402919791171e-7
0.08,8.866960875437129e-7,1.3866960875437129e-6,2.113303912456287e-6,6.13303912456287e-7
0.12,8.41758827811361e-7,1.341758827811361e-6,2.1582411721886387e-6,6.58241172188639e-7
0.16,8.029811583850608e-7,1.3029811583850609e-6,2.197018841614939e-6,6.970188416149392e-7
0.2,7.694143862090427e-7,1.2694143862090428e-6,2.230585613790957e-6,7.305856137909572e-7
0.24,7.40279844627053e-7,1.2402798446270531e-6,2.2597201553729466e-6,7.59720155372947e-7
0.28,7.149330666005749e-7,1.214933066600575e-6,2.285066933399425e-6,7.850669333994251e-7
0.32,6.928366892005076e-7,1.1928366892005076e-6,2.307163310799492e-6,8.071633107994923e-7
0.36,6.735396929847517e-7,1.1735396929847517e-6,2.326460307015248e-6,8.264603070152482e-7
0.4,6.566613039325229e-7,1.156661303932523e-6,2.343338696067477e-6,8.43338696067477e-7
0.44,6.418783726036345e-7,1.1418783726036346e-6,2.3581216273963654e-6,8.581216273963655e-7
0.48,6.289153782702787e-7,1.1289153782702789e-6,2.371084621729721e-6,8.710846217297212e-7
0.52,6.175364372045038e-7,1.1175364372045039e-6,2.3824635627954963e-6,8.824635627954962e-7
0.56,6.075388573262868e-7,1.1075388573262868e-6,2.392461142673713e-6,8.924611426737132e-7
0.6,5.987478978150319e-7,1.098747897815032e-6,2.401252102184968e-6,9.01252102184968e-7
0.64,5.91012476367613e-7,1.091012476367613e-6,2.4089875236323866e-6,9.089875236323869e-7
0.68,5.842016282669361e-7,1.0842016282669362e-6,2.4157983717330638e-6,9.157983717330638e-7
0.72,5.782015667853731e-7,1.078201566785373e-6,2.4217984332146267e-6,9.217984332146269e-7
0.76,5.72913228321138e-7,1.072913228321138e-6,2.4270867716788618e-6,9.270867716788619e-7
0.8,5.682502110775963e-7,1.0682502110775964e-6,2.4317497889224038e-6,9.317497889224036e-7
0.84,5.641370355221023e-7,1.0641370355221023e-6,2.435862964477898e-6,9.358629644778976e-7
0.88,5.605076695810382e-7,1.0605076695810382e-6,2.439492330418962e-6,9.394923304189618e-7
0.92,5.573042730207075e-7,1.0573042730207074e-6,2.4426957269792924e-6,9.426957269792924e-7
0.96,5.544761243173403e-7,1.0544761243173403e-6,2.4455238756826595e-6,9.455238756826596e-7
1.0,5.519787002373512e-7,1.0519787002373512e-6,2.4480212997626485e-6,9.480212997626487e-7
1.04,5.497728839255477e-7,1.049772883925548e-6,2.450227116074452e-6,9.502271160744522e-7
1.08,5.478242815402341e-7,1.047824281540234e-6,2.452175718459766e-6,9.521757184597659e-7
1.12,5.461026310384235e-7,1.0461026310384237e-6,2.4538973689615765e-6,9.538973689615764e-7
1.16,5.445812894866509e-7,1.044581289486651e-6,2.455418710513349e-6,9.55418710513349e-7
1.2,5.432367874854925e-7,1.0432367874854926e-6,2.4567632125145076e-6,9.567632125145076e-7
1.24,5.420484412023329e-7,1.042048441202333e-6,2.457951558797667e-6,9.57951558797667e-7
1.28,5.409980139931816e-7,1.0409980139931817e-6,2.459001986006818e-6,9.590019860068185e-7
1.32,5.400694207879657e-7,1.040069420787966e-6,2.459930579212034e-6,9.599305792120341e-7
1.36,5.39248469501305e-7,1.0392484695013053e-6,2.460751530498695e-6,9.607515304986948e-7
1.4,5.385226345630213e-7,1.0385226345630214e-6,2.4614773654369784e-6,9.614773654369788e-7
1.44,5.378808583294508e-7,1.037880858329451e-6,2.462119141670549e-6,9.621191416705491e-7
1.48,5.373133767762577e-7,1.0373133767762579e-6,2.462686623223742e-6,9.626866232237422e-7
1.52,5.368115664085447e-7,1.036811566408545e-6,2.463188433591455e-6,9.631884335914552e-7
1.56,5.363678096413131e-7,1.0363678096413134e-6,2.4636321903586864e-6,9.636321903586868e-7
1.6,5.359753763844261e-7,1.0359753763844263e-6,2.4640246236155737e-6,9.640246236155738e-7
1.64,5.356283197932766e-7,1.0356283197932769e-6,2.4643716802067233e-6,9.643716802067233e-7
1.68,5.353213844683977e-7,1.0353213844683981e-6,2.464678615531602e-6,9.64678615531602e-7
1.72,5.350499255361533e-7,1.0350499255361536e-6,2.4649500744638463e-6,9.649500744638465e-7
1.76,5.348098373098212e-7,1.0348098373098214e-6,2.4651901626901783e-6,9.651901626901787e-7
1.8,5.345974903999687e-7,1.0345974903999688e-6,2.4654025096000308e-6,9.654025096000314e-7
1.84,5.344096762010608e-7,1.034409676201061e-6,2.4655903237989387e-6,9.655903237989391e-7
1.88,5.342435579140192e-7,1.0342435579140194e-6,2.4657564420859806e-6,9.657564420859807e-7
1.92,5.340966273139168e-7,1.034096627313917e-6,2.4659033726860826e-6,9.65903372686083e-7
1.96,5.339666665731646e-7,1.0339666665731647e-6,2.466033333426835e-6,9.660333334268354e-7
2.0,5.338517145469868e-7,1.0338517145469871e-6,2.466148285453013e-6,9.66148285453013e-7
