time,S1,S2
0.0,0.5,0.5
0.16,0.5800000000000001,0.5
0.32,0.6600000000000001,0.5
0.48,0.74,0.5
0.64,0.8200000000000003,0.5
0.8,0.9000000000000004,0.5
0.96,0.9800000000000004,0.5
1.12,1.0600000000000007,0.5
1.28,1.1400000000000006,0.5
1.44,1.2200000000000006,0.5
1.6,1.3000000000000003,0.5
1.76,1.3800000000000006,0.5
1.92,1.4600000000000004,0.5
2.08,1.5400000000000007,0.5
2.24,1.6200000000000008,0.5
2.4,1.7000000000000004,0.5
2.56,1.7800000000000007,0.5
2.72,1.8600000000000008,0.5
2.88,1.9400000000000006,0.5
3.04,2.0200000000000005,0.5
3.2,2.1,0.5
3.36,2.1799999999999997,0.5
3.52,2.26,0.5
3.68,2.3399999999999994,0.5
3.84,2.4199999999999986,0.5
4.0,2.4999999999999982,0.5
4.16,2.5799999999999987,0.5
4.32,2.659999999999999,0.5
4.48,2.739999999999999,0.5
4.64,2.8199999999999985,0.5
4.8,2.8999999999999986,0.5
4.96,2.9799999999999986,0.5
5.12,3.0599999999999987,0.5
5.28,3.139999999999999,0.5
5.44,3.219999999999999,0.5
5.6,3.2999999999999985,0.5
5.76,3.3799999999999986,0.5
5.92,3.4599999999999986,0.5
6.08,3.5399999999999987,0.5
6.24,3.6199999999999988,0.5
6.4,3.699999999999999,0.5
6.56,3.7799999999999985,0.5
6.72,3.8599999999999985,0.5
6.88,3.9399999999999986,0.5
7.04,4.019999999999999,0.5
7.2,4.099999999999999,0.5
7.36,4.179999999999999,0.5
7.52,4.259999999999999,0.5
7.68,4.339999999999999,0.5
7.84,4.419999999999999,0.5
8.0,4.499999999999993,0.5
