time,S1,S2,S3,S4,S5
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7,1.0e-6
0.04,9.389597080208828e-7,1.4389597080208828e-6,2.061040291979117e-6,5.610402919791171e-7,1.0e-6
0.08,8.866960875437129e-7,1.3866960875437129e-6,2.113303912456287e-6,6.13303912456287e-7,1.0e-6
0.12,8.41758827811361e-7,1.341758827811361e-6,2.1582411721886387e-6,6.58241172188639e-7,1.0e-6
0.16,8.029811583850608e-7,1.3029811583850609e-6,2.197018841614939e-6,6.970188416149392e-7,1.0e-6
0.2,7.694143862090427e-7,1.2694143862090428e-6,2.230585613790957e-6,7.305856137909572e-7,1.0e-6
0.24,7.40279844627053e-7,1.2402798446270531e-6,2.2597201553729466e-6,7.59720155372947e-7,1.0e-6
0.28,7.149330666005749e-7,1.214933066600575e-6,2.285066933399425e-6,7.850669333994251e-7,1.0e-6
0.32,6.928366892005076e-7,1.1928366892005076e-6,2.3071633107994918e-6,8.071633107994923e-7,1.0e-6
0.36,6.735396929847517e-7,1.1735396929847517e-6,2.3264603070152476e-6,8.264603070152482e-7,1.0e-6
0.4,6.566613039325228e-7,1.156661303932523e-6,2.3433386960674766e-6,8.433386960674771e-7,1.0e-6
0.44,6.418783726036345e-7,1.1418783726036346e-6,2.358121627396365e-6,8.581216273963655e-7,1.0e-6
0.48,6.289153782702787e-7,1.1289153782702789e-6,2.3710846217297206e-6,8.710846217297213e-7,1.0e-6
0.52,6.175364372045038e-7,1.1175364372045039e-6,2.3824635627954955e-6,8.824635627954963e-7,1.0e-6
0.56,6.075388573262868e-7,1.1075388573262868e-6,2.3924611426737125e-6,8.924611426737133e-7,1.0e-6
0.6,5.987478978150319e-7,1.098747897815032e-6,2.4012521021849673e-6,9.012521021849681e-7,1.0e-6
0.64,5.91012476367613e-7,1.091012476367613e-6,2.408987523632386e-6,9.08987523632387e-7,1.0e-6
0.68,5.84201628266936e-7,1.084201628266936e-6,2.4157983717330633e-6,9.15798371733064e-7,1.0e-6
0.72,5.782015667853749e-7,1.0782015667853747e-6,2.4217984332146246e-6,9.217984332146252e-7,1.0e-6
0.76,5.729132283211561e-7,1.072913228321156e-6,2.427086771678843e-6,9.270867716788439e-7,1.0e-6
0.8,5.682502110775962e-7,1.0682502110775962e-6,2.431749788922403e-6,9.317497889224038e-7,1.0e-6
0.84,5.641370355221022e-7,1.064137035522102e-6,2.435862964477897e-6,9.358629644778978e-7,1.0e-6
0.88,5.60507669581038e-7,1.060507669581038e-6,2.439492330418961e-6,9.394923304189621e-7,1.0e-6
0.92,5.573042730207082e-7,1.0573042730207082e-6,2.442695726979291e-6,9.426957269792918e-7,1.0e-6
0.96,5.544761243173377e-7,1.0544761243173375e-6,2.4455238756826616e-6,9.455238756826624e-7,1.0e-6
1.0,5.519787002373752e-7,1.0519787002373751e-6,2.4480212997626244e-6,9.480212997626249e-7,1.0e-6
1.04,5.497728839255477e-7,1.049772883925548e-6,2.4502271160744516e-6,9.502271160744523e-7,1.0e-6
1.08,5.47824281540234e-7,1.047824281540234e-6,2.4521757184597655e-6,9.521757184597661e-7,1.0e-6
1.12,5.461026310384232e-7,1.0461026310384233e-6,2.453897368961576e-6,9.538973689615769e-7,1.0e-6
1.16,5.445812894866498e-7,1.04458128948665e-6,2.4554187105133495e-6,9.554187105133501e-7,1.0e-6
1.2,5.432367874854997e-7,1.0432367874854998e-6,2.4567632125144996e-6,9.567632125145004e-7,1.0e-6
1.24,5.420484412023328e-7,1.0420484412023329e-6,2.4579515587976664e-6,9.579515587976672e-7,1.0e-6
1.28,5.409980139931816e-7,1.0409980139931817e-6,2.459001986006818e-6,9.590019860068185e-7,1.0e-6
1.32,5.400694207879657e-7,1.0400694207879658e-6,2.459930579212034e-6,9.599305792120343e-7,1.0e-6
1.36,5.39248469501305e-7,1.0392484695013051e-6,2.4607515304986944e-6,9.60751530498695e-7,1.0e-6
1.4,5.385226345630208e-7,1.038522634563021e-6,2.461477365436979e-6,9.614773654369792e-7,1.0e-6
1.44,5.378808583294492e-7,1.0378808583294493e-6,2.4621191416705502e-6,9.621191416705508e-7,1.0e-6
1.48,5.373133767762621e-7,1.0373133767762621e-6,2.4626866232237374e-6,9.62686623223738e-7,1.0e-6
1.52,5.368115664085447e-7,1.0368115664085447e-6,2.4631884335914546e-6,9.631884335914554e-7,1.0e-6
