time,S1_,S2_,S3_,S4_,S5_
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7,1.0e-6
0.04,1.0114343923045105e-6,1.5114343923045105e-6,1.988565607695489e-6,4.885656076954894e-7,1.0e-6
0.08,1.0225265996756367e-6,1.5225265996756367e-6,1.9774734003243634e-6,4.774734003243633e-7,1.0e-6
0.12,1.0332896656902467e-6,1.5332896656902468e-6,1.9667103343097533e-6,4.667103343097534e-7,1.0e-6
0.16,1.0437359971644841e-6,1.5437359971644842e-6,1.9562640028355157e-6,4.5626400283551584e-7,1.0e-6
0.2,1.053877402579947e-6,1.553877402579947e-6,1.946122597420053e-6,4.4612259742005314e-7,1.0e-6
0.24,1.0637251277558542e-6,1.5637251277558542e-6,1.936274872244146e-6,4.362748722441459e-7,1.0e-6
0.28,1.0732898889948503e-6,1.5732898889948504e-6,1.9267101110051496e-6,4.267101110051497e-7,1.0e-6
0.32,1.0825819039088504e-6,1.5825819039088505e-6,1.9174180960911497e-6,4.174180960911496e-7,1.0e-6
0.36,1.0916109201121197e-6,1.5916109201121198e-6,1.9083890798878804e-6,4.0838907988788033e-7,1.0e-6
0.4,1.1003862419518576e-6,1.6003862419518576e-6,1.8996137580481425e-6,3.996137580481426e-7,1.0e-6
0.44,1.1089167554311919e-6,1.608916755431192e-6,1.8910832445688082e-6,3.9108324456880813e-7,1.0e-6
0.48,1.1172109514656846e-6,1.6172109514656847e-6,1.8827890485343155e-6,3.827890485343155e-7,1.0e-6
0.52,1.1252769476017472e-6,1.6252769476017473e-6,1.8747230523982529e-6,3.7472305239825283e-7,1.0e-6
0.56,1.1331225083145414e-6,1.6331225083145414e-6,1.8668774916854587e-6,3.6687749168545857e-7,1.0e-6
0.6,1.140755063992954e-6,1.640755063992954e-6,1.8592449360070461e-6,3.59244936007046e-7,1.0e-6
0.64,1.1481817287089916e-6,1.6481817287089917e-6,1.8518182712910084e-6,3.518182712910083e-7,1.0e-6
0.68,1.155409316861965e-6,1.655409316861965e-6,1.844590683138035e-6,3.4459068313803496e-7,1.0e-6
0.72,1.1624443587797877e-6,1.662444358779788e-6,1.8375556412202124e-6,3.3755564122021213e-7,1.0e-6
0.76,1.1692931153527374e-6,1.6692931153527375e-6,1.8307068846472626e-6,3.3070688464726245e-7,1.0e-6
0.8,1.175961591769002e-6,1.6759615917690022e-6,1.824038408230998e-6,3.240384082309978e-7,1.0e-6
0.84,1.1824555504157691e-6,1.6824555504157692e-6,1.817544449584231e-6,3.1754444958423077e-7,1.0e-6
0.88,1.1887805230044483e-6,1.6887805230044484e-6,1.8112194769955518e-6,3.112194769955516e-7,1.0e-6
0.92,1.1949418219740188e-6,1.694941821974019e-6,1.8050581780259813e-6,3.050581780259812e-7,1.0e-6
0.96,1.2009445512220172e-6,1.7009445512220173e-6,1.7990554487779828e-6,2.990554487779826e-7,1.0e-6
1.0,1.206793616209077e-6,1.706793616209077e-6,1.7932063837909232e-6,2.932063837909229e-7,1.0e-6
1.04,1.212493733480002e-6,1.712493733480002e-6,1.787506266519998e-6,2.8750626651999794e-7,1.0e-6
1.08,1.21804943963824e-6,1.7180494396382402e-6,1.78195056036176e-6,2.8195056036175986e-7,1.0e-6
1.12,1.223465099813346e-6,1.723465099813346e-6,1.7765349001866541e-6,2.7653490018665397e-7,1.0e-6
1.16,1.2287449156515134e-6,1.7287449156515134e-6,1.7712550843484867e-6,2.712550843484867e-7,1.0e-6
1.2,1.2338929328618873e-6,1.7338929328618874e-6,1.7661070671381128e-6,2.661070671381126e-7,1.0e-6
1.24,1.2389130483468532e-6,1.7389130483468533e-6,1.7610869516531468e-6,2.6108695165314665e-7,1.0e-6
1.28,1.2438090169428963e-6,1.7438090169428964e-6,1.7561909830571038e-6,2.561909830571037e-7,1.0e-6
1.32,1.2485844577966176e-6,1.7485844577966177e-6,1.7514155422033825e-6,2.5141554220338234e-7,1.0e-6
1.36,1.2532428603987922e-6,1.7532428603987923e-6,1.746757139601208e-6,2.4675713960120786e-7,1.0e-6
1.4,1.2577875902976962e-6,1.7577875902976963e-6,1.7422124097023039e-6,2.422124097023037e-7,1.0e-6
1.44,1.262221894511496e-6,1.7622218945114961e-6,1.737778105488504e-6,2.377781054885038e-7,1.0e-6
1.48,1.2665489066581023e-6,1.7665489066581024e-6,1.7334510933418978e-6,2.334510933418977e-7,1.0e-6
1.52,1.2707716518194056e-6,1.7707716518194057e-6,1.7292283481805944e-6,2.292283481805944e-7,1.0e-6
1.56,1.2748930511560507e-6,1.7748930511560508e-6,1.7251069488439493e-6,2.2510694884394914e-7,1.0e-6
1.6,1.2789159262875246e-6,1.7789159262875247e-6,1.7210840737124755e-6,2.2108407371247538e-7,1.0e-6
1.64,1.2828430034509403e-6,1.7828430034509404e-6,1.7171569965490598e-6,2.171569965490597e-7,1.0e-6
1.68,1.2866769174530554e-6,1.7866769174530555e-6,1.7133230825469447e-6,2.1332308254694452e-7,1.0e-6
1.72,1.290420215424638e-6,1.7904202154246382e-6,1.709579784575362e-6,2.0957978457536183e-7,1.0e-6
1.76,1.2940753603918976e-6,1.7940753603918977e-6,1.7059246396081025e-6,2.0592463960810226e-7,1.0e-6
1.8,1.297644734672761e-6,1.797644734672761e-6,1.7023552653272391e-6,2.0235526532723895e-7,1.0e-6
1.84,1.3011306431093465e-6,1.8011306431093465e-6,1.6988693568906536e-6,1.988693568906535e-7,1.0e-6
1.88,1.3045353161453436e-6,1.8045353161453437e-6,1.6954646838546565e-6,1.9546468385465643e-7,1.0e-6
1.92,1.307860912757039e-6,1.807860912757039e-6,1.6921390872429611e-6,1.9213908724296097e-7,1.0e-6
1.96,1.311109523246015e-6,1.811109523246015e-6,1.6888904767539851e-6,1.8889047675398495e-7,1.0e-6
2.0,1.3142831719012269e-6,1.814283171901227e-6,1.6857168280987732e-6,1.8571682809877305e-7,1.0e-6
