time,c
0.0,0.00015
0.16,0.0001524193028109142
0.32,0.00015487762579576773
0.48,0.00015737559829867085
0.64,0.00015991385981422576
0.8,0.00016249306015124376
0.96,0.0001651138595990968
1.12,0.00016777692909675668
1.28,0.00017048295040455878
1.44,0.0001732326162787367
1.6,0.00017602663064877078
1.76,0.00017886570879759693
1.92,0.0001817505775447248
2.08,0.00018468197543230683
2.24,0.00018766065291421307
2.4,0.00019068737254821072
2.56,0.00019376290919095637
2.72,0.0001968880501966684
2.88,0.00020006359561850815
3.04,0.00020329035841344426
3.2,0.00020656916465037586
3.36,0.00020990085372160993
3.52,0.0002132862785577479
3.68,0.00021672630584604043
3.84,0.00022022181625225949
4.0,0.00022377370464615878
4.16,0.00022738288033056402
4.32,0.0002310502672741552
4.48,0.00023477680434801478
4.64,0.00023856344556599134
4.8,0.000242411160328911
4.96,0.00024632093367278054
5.12,0.0002502937665209135
5.28,0.000254330675940212
5.44,0.00025843269540157574
5.6,0.0002626008750443927
5.76,0.00026683628194539667
5.92,0.00027114000039182607
6.08,0.00027551313215915413
6.24,0.00027995679679299653
6.4,0.00028447213189576826
6.56,0.000289060293417916
6.72,0.00029372245595384586
6.88,0.0002984598130426307
7.04,0.0003032735774735573
7.2,0.0003081649815966067
7.36,0.00031313527763795373
7.52,0.0003181857380205127
7.68,0.00032331765568979103
7.84,0.00032853234444459506
8.0,0.0003338311392739021
