time,S1_,S2_,default_compartment
0.0,5.0,5.0,1.0
1.0,9.999546021313483,0.0004539786865144691,1.0
2.0,9.99999997938846,2.0611536145632827e-8,1.0
3.0,9.999999999999064,9.357624088472274e-13,1.0
4.0,9.999999999999998,4.316769373606533e-17,1.0
5.0,9.999999999999998,1.6155033465064403e-18,1.0
6.0,9.999999999999998,2.178280165687468e-16,1.0
7.0,9.999999999999998,4.342280033204251e-16,1.0
8.0,9.999999999999998,8.381025419075094e-17,1.0
9.0,9.999999999999998,7.245399989702791e-17,1.0
10.0,9.999999999999998,9.665495263978314e-18,1.0
