time,S1,S2,S3
0.0,0.03,0.0,0.0
0.1,0.024561922592339604,0.00516639989747854,0.0002716775101818535
0.2,0.020109601381069424,0.008904642422540368,0.0009857561963902074
0.3,0.016464349082820802,0.011520395075261475,0.002015255841917725
0.4,0.013479868923518587,0.013259464915102787,0.0032606661613786263
0.5,0.011036383235145143,0.014319073112467724,0.004644543652387131
0.6,0.00903582635737212,0.01485704545089717,0.006107128191730713
0.7,0.0073979089182542816,0.014999300390976028,0.0076027906907696905
0.8,0.006056895539880303,0.014845946767272874,0.009097157692846823
0.9,0.004958966646681666,0.014476246291078307,0.010564787062240028
1.0,0.0040600584971257365,0.013952649476035263,0.011987292026839003
1.1,0.003324094750903825,0.01332407552007799,0.013351829729018185
1.2,0.0027215385987030445,0.012628575517325618,0.014649885883971338
1.3,0.0022282073465002233,0.011895492889040547,0.015876299764459232
1.4,0.0018243018788157961,0.011147214078865673,0.017028484042318527
1.5,0.0014936120510596483,0.010400585506790041,0.01810580244215031
1.6,0.0012228661193823304,0.009668058840915306,0.019109075039702363
1.7,0.0010011980988446278,0.008958615245475695,0.020040186655679675
1.8,0.0008197116734407087,0.008278509946414265,0.020901778380145026
1.9,0.0006711231557044035,0.007631870841950092,0.021697006002345504
2.0,0.0005494691667080655,0.007021178660781543,0.02242935217251039
2.1,0.00044986730465216554,0.006447651085876284,0.023102481609471547
2.2,0.0003683201970947929,0.005911549107551563,0.02372013069535364
2.3,0.00030155507236610633,0.005412420478636984,0.02428602444899691
2.4,0.000246892411487558,0.004949292374391075,0.024803815214121366
2.5,0.00020213840997361686,0.00452082309748854,0.02527703849253784
2.6,0.00016549693263285967,0.0041254208275953485,0.02570908223977179
2.7,0.00013549742829184995,0.0037613359078024246,0.026103166663905723
2.8,0.00011093591150562461,0.0034267319345037493,0.026462332153990624
2.9,9.082664235915552e-5,0.003119739918667286,0.026789433438973557
3.0,7.436256530888335e-5,0.00283849897145512,0.027087138463235995
3.1,6.0882919093231864e-5,0.0025811863054282197,0.027357930775478545
3.2,4.9846718193856854e-5,0.0023460388023155932,0.02760411447949055
3.3,4.0811041126436735e-5,0.0021313679618225447,0.027827820997051018
3.4,3.3413254438959214e-5,0.001935569688742683,0.028031017056818357
3.5,2.735645896930966e-5,0.0017571300874014094,0.028215513453629278
3.6,2.2397574249307668e-5,0.0015946281983399418,0.028382974227410752
3.7,1.833758283500923e-5,0.0014467364225512365,0.028534925994613755
3.8,1.5013543003651485e-5,0.001312219225363545,0.028672767231632805
3.9,1.2292049369429933e-5,0.0011899305880104653,0.028797777362620104
4.0,1.0063878835693067e-5,0.0010788105756534977,0.02891112554551081
4.1,8.239607099878521e-6,0.0009778813099066877,0.029013879082993434
4.2,6.746019725379789e-6,0.0008862425697786547,0.029107011410495966
4.3,5.5231738091363165e-6,0.0008030671931152793,0.029191409633075587
4.4,4.521992252210993e-6,0.0007275964096803607,0.029267881598067428
4.5,3.702294122650644e-6,0.0006591352040498839,0.029337162501827465
4.6,3.031182055060406e-6,0.0005970477805685268,0.029399921037376413
4.7,2.4817219660517683e-6,0.0005407531821702474,0.0294567650958637
4.8,2.031862094234651e-6,0.000489721098753274,0.02950824703915249
4.9,1.6635479825632545e-6,0.00044346788829084725,0.02955486856372659
5.0,1.3619978925256208e-6,0.0004015528241605336,0.029597085177946944
