time,c
0.0,3.2
0.04,3.232160534669337
0.08,3.264644288085577
0.12,3.297454508651254
0.16,3.3305944774156333
0.2,3.364067508403277
0.24,3.397876948945151
0.28,3.4320261800135055
0.32,3.466518616559868
0.36,3.501357707856668
0.4,3.536546937842073
0.44,3.572089825468389
0.48,3.6079899250539804
0.52,3.6442508266387903
0.56,3.680876156343121
0.6,3.7178695767305068
0.64,3.7552347871737934
0.68,3.792975524225128
0.72,3.8310955619897933
0.76,3.8695987125031985
0.8,3.9084888261125443
0.84,3.947769791861579
0.88,3.987445537879575
0.92,4.02752003177433
0.96,4.067997281028489
1.0,4.108881333400774
1.04,4.15017627733047
1.08,4.191886242346395
1.12,4.2340153994798
1.16,4.276567961681504
1.2,4.319548184243211
1.24,4.36296036522297
1.28,4.406808845875014
1.32,4.451098011084098
1.36,4.495832289803493
1.4,4.541016155498148
1.44,4.586654126593089
1.48,4.632750766922568
1.52,4.67931068618952
1.56,4.726338540424454
1.6,4.773839032451775
1.64,4.821816912361132
1.68,4.870276977979549
1.72,4.919224075354501
1.76,4.968663099236268
1.8,5.018598993568423
1.84,5.069036751982342
1.88,5.119981418295503
1.92,5.171438087017259
1.96,5.2234119038571984
2.0,5.275908066240411
