time,S1,S2,S3,S4
0.0,0.01,0.02,0.0,0.0
0.8,0.008438422125688608,0.01920283867464136,0.0023587391996700343,0.0023587391996700343
1.6,0.007421306484414502,0.017987387398432943,0.0045913061171525575,0.0045913061171525575
2.4,0.006668931450142105,0.016663071345153737,0.00666799720470416,0.00666799720470416
3.2,0.006057513520885925,0.015358429981394039,0.008584056497720038,0.008584056497720038
4.0,0.005531191236395574,0.014123843746383766,0.010344965017220662,0.010344965017220662
4.8,0.005063759631423255,0.012976160110089181,0.011960080258487564,0.011960080258487564
5.6,0.004642036659211195,0.011918055530221057,0.013439907810567751,0.013439907810567751
6.4,0.004258656650754016,0.010946387696402384,0.014794955652843604,0.014794955652843604
7.2,0.003908896860861141,0.010055838616245469,0.016035264522893392,0.016035264522893392
8.0,0.003589298932467387,0.0092404632351272,0.017170237832405417,0.017170237832405417
8.8,0.0032970716343499952,0.00849432796949758,0.018208600396152425,0.018208600396152425
9.6,0.00302980260590705,0.007811791077855961,0.01915840631623699,0.01915840631623699
10.4,0.002785354064092463,0.0071875710336836655,0.02002707490222387,0.02002707490222387
11.2,0.002561792081077148,0.0066167786902453125,0.02082142922867754,0.02082142922867754
12.0,0.002357351708381431,0.006094910556741146,0.021547737734877424,0.021547737734877424
12.8,0.0021704175448591023,0.005617826983943916,0.022211755471196984,0.022211755471196984
13.6,0.001999508522573652,0.005181728305662135,0.022818763171764213,0.022818763171764213
14.4,0.0018432597001690541,0.004783137268163371,0.023373603031667575,0.023373603031667575
15.2,0.001700434621029931,0.004418848409181693,0.023880716969788374,0.023880716969788374
16.0,0.0015698944543391003,0.004085930512007448,0.02434417503365345,0.02434417503365345
16.8,0.0014505909947864428,0.003781703601341542,0.024767705403872017,0.024767705403872017
17.6,0.0013415595983403883,0.0035037183067035244,0.02515472209495609,0.02515472209495609
18.4,0.0012419218365230234,0.003249726029389255,0.02550835213408772,0.02550835213408772
19.2,0.0011508786159526363,0.0030176622859564694,0.025831459098090898,0.025831459098090898
20.0,0.0010676926695544699,0.002805644380010632,0.0261266629504349,0.0261266629504349
20.8,0.0009916879419620411,0.00261195109902773,0.02639636095901023,0.02639636095901023
21.6,0.0009222394514784827,0.002435015199977254,0.026642745348544265,0.026642745348544265
22.4,0.0008587964386829326,0.00227337851842046,0.026867825042896608,0.026867825042896608
23.2,0.0008008435588986127,0.002125720938724658,0.02707343550237673,0.02707343550237673
24.0,0.0007479072465746805,0.001990837879845424,0.027261254873579895,0.027261254873579895
24.8,0.0006995488192179293,0.0018676345073148084,0.027432816673467263,0.027432816673467263
25.6,0.0006553623916044165,0.0017551154553880847,0.0275895221530075,0.0275895221530075
26.4,0.0006150046903648121,0.001652338298390601,0.027732657011244586,0.027732657011244586
27.2,0.0005781485822416132,0.0015584571759203103,0.027863394241838077,0.027863394241838077
28.0,0.0005444902860654793,0.0014727045446806424,0.027982805169253878,0.027982805169253878
28.8,0.0005137479205500359,0.0013943838768025669,0.028091868202647398,0.028091868202647398
29.6,0.0004856444298159671,0.001322881376945529,0.028191474193238506,0.028191474193238506
30.4,0.0004599728941586927,0.0012575820690540838,0.028282445036787226,0.028282445036787226
31.2,0.00043654591911071797,0.0011979220508114904,0.028365532030077793,0.028365532030077793
32.0,0.00041515882214087073,0.0011434252016026365,0.028441415976256493,0.028441415976256493
32.8,0.0003956370460819853,0.0010936419511147046,0.028510721002803312,0.028510721002803312
33.6,0.0003777866314783005,0.0010482018798114122,0.02857401148871029,0.02857401148871029
34.4,0.00036142432943016484,0.0010067736572840172,0.02863180201328582,0.02863180201328582
35.2,0.0003465128276497492,0.0009689024964944969,0.028684584675855756,0.028684584675855756
36.0,0.00033292718950247096,0.0009342791671589951,0.028732793643338535,0.028732793643338535
36.8,0.0003205459637856438,0.0009026297580125871,0.02877682427820177,0.02877682427820177
37.6,0.00030924782358371963,0.0008737162088780224,0.02881703596753826,0.02881703596753826
38.4,0.00029891118945140504,0.0008473336451810925,0.028853755165367503,0.028853755165367503
39.2,0.0002894632067093893,0.0008232502742551191,0.028887286519035493,0.028887286519035493
40.0,0.00028083157786011034,0.0008012611069406143,0.028917907315199276,0.028917907315199276
