time,S1_,S2_,S3_,S4_,C_
0.0,1.0,1.5,2.0,1.0,1.0
0.04,0.9762188959534298,1.4762188959534297,2.02378110404657,1.0237811040465703,0.9960079893439915
0.08,0.9547111254838421,1.454711125483842,2.045288874516158,1.045288874516158,0.9920319148370607
0.12,0.9352506180522724,1.4352506180522724,2.0647493819477276,1.0647493819477276,0.988071712861931
0.16,0.91763594658594,1.41763594658594,2.08236405341406,1.08236405341406,0.9841273200552845
0.2,0.901687222934634,1.401687222934634,2.0983127770653662,1.098312777065366,0.9801986733067583
0.24,0.8872434545483758,1.3872434545483758,2.1127565454516244,1.1127565454516242,0.9762857097579208
0.28,0.8741602835621647,1.3741602835621647,2.1258397164378353,1.1258397164378353,0.972388366801247
0.32,0.8623080436673775,1.3623080436673776,2.1376919563326227,1.1376919563326224,0.9685065820791976
0.36,0.8515700833904786,1.3515700833904787,2.1484299166095213,1.1484299166095213,0.9646402934831231
0.4,0.841841311842246,1.3418413118422459,2.158158688157754,1.1581586881577541,0.9607894391523234
0.44,0.8330269340689708,1.3330269340689709,2.166973065931029,1.1669730659310291,0.956953957473047
0.48,0.8250413475847608,1.3250413475847609,2.1749586524152393,1.1749586524152391,0.9531337870775054
0.52,0.8178071747627943,1.3178071747627942,2.182192825237206,1.1821928252372058,0.9493288668428903
0.56,0.8112544110678653,1.3112544110678654,2.1887455889321346,1.1887455889321346,0.9455391358903986
0.6,0.8053196732963688,1.3053196732963688,2.1946803267036312,1.1946803267036312,0.9417645335842538
0.64,0.7999455349149849,1.2999455349149849,2.200054465085015,1.2000544650850151,0.9380049995307291
0.68,0.7950799372555963,1.2950799372555963,2.2049200627444034,1.2049200627444037,0.9342604735772116
0.72,0.7906756657314883,1.2906756657314882,2.2093243342685116,1.2093243342685118,0.9305308958112212
0.76,0.7866898802685267,1.2866898802685267,2.2133101197314735,1.2133101197314733,0.9268162065593822
0.8,0.7830836949610148,1.2830836949610147,2.2169163050389855,1.2169163050389853,0.9231163463866359
0.84,0.7798218037632955,1.2798218037632954,2.220178196236705,1.2201781962367046,0.9194312560951248
0.88,0.7768721507407276,1.2768721507407275,2.2231278492592725,1.2231278492592725,0.9157608767233257
0.92,0.7742056265312846,1.2742056265312844,2.2257943734687156,1.2257943734687156,0.9121051495450906
0.96,0.771795790640289,1.2717957906402888,2.228204209359711,1.2282042093597112,0.9084640160687065
1.0,0.7696186218867933,1.2696186218867933,2.230381378113207,1.2303813781132067,0.9048374180359608
1.04,0.7676522961089658,1.2676522961089658,2.232347703891034,1.2323477038910342,0.9012252974212057
1.08,0.7658769880291033,1.2658769880291032,2.234123011970897,1.2341230119708968,0.8976275964304362
1.12,0.7642746930002037,1.2642746930002036,2.235725306999796,1.2357253069997964,0.8940442575003584
1.16,0.7628290642055571,1.262829064205557,2.237170935794443,1.237170935794443,0.8904752232974872
1.2,0.761525261760334,1.2615252617603339,2.238474738239666,1.2384747382396661,0.8869204367171707
1.24,0.7603498120700201,1.26034981207002,2.23965018792998,1.23965018792998,0.8833798408827941
1.28,0.7592904787340113,1.2592904787340111,2.240709521265989,1.2407095212659889,0.8798533791446443
1.32,0.7583361502454423,1.2583361502454422,2.241663849754558,1.2416638497545578,0.8763409950794605
1.36,0.7574767524443308,1.2574767524443307,2.242523247555669,1.2425232475556693,0.8728426324887193
1.4,0.7567031533653188,1.2567031533653186,2.243296846634681,1.2432968466346814,0.8693582353988059
1.44,0.7560070631633995,1.2560070631633993,2.2439929368366007,1.2439929368366007,0.865887748059205
1.48,0.7553809698686499,1.2553809698686496,2.24461903013135,1.2446190301313504,0.8624311149420455
1.52,0.7548180705582275,1.2548180705582272,2.2451819294417725,1.2451819294417728,0.8589882807411235
1.56,0.7543122032440852,1.254312203244085,2.245687796755915,1.245687796755915,0.8555591903710186
1.6,0.7538577844738643,1.253857784473864,2.246142215526136,1.246142215526136,0.8521437889662118
1.64,0.7534497546819858,1.2534497546819856,2.2465502453180144,1.2465502453180144,0.848742021880207
1.68,0.7530835312106307,1.2530835312106305,2.2469164687893692,1.2469164687893695,0.8453538346846602
1.72,0.752754967505782,1.2527549675057819,2.247245032494218,1.2472450324942181,0.8419791731685025
1.76,0.7524603162818105,1.2524603162818102,2.2475396837181894,1.2475396837181898,0.8386179833370856
1.8,0.7521961944391946,1.2521961944391944,2.2478038055608054,1.2478038055608056,0.8352702114112822
1.84,0.7519595482139275,1.2519595482139272,2.2480404517860726,1.2480404517860728,0.8319358038266891
1.88,0.7517476184338815,1.2517476184338812,2.2482523815661186,1.2482523815661188,0.8286147072326909
1.92,0.751557907857042,1.2515579078570418,2.248442092142958,1.2484420921429582,0.8253068684916702
1.96,0.7513881553687979,1.2513881553687978,2.2486118446312022,1.2486118446312022,0.8220122346782232
2.0,0.7512363249541897,1.2512363249541896,2.24876367504581,1.2487636750458104,0.8187307530779819
