time,S1,S2
0.0,0.015,0.0
0.1,0.014286280635269719,0.0007137193647302816
0.2,0.013640480648084862,0.0013595193519151379
0.3,0.013056136655112908,0.0019438633448870912
0.4,0.012527400345268315,0.002472599654731685
0.5,0.012048979947844728,0.002951020052155272
0.6,0.01161608727070553,0.003383912729294469
0.7,0.0112243897784369,0.003775610221563099
0.8,0.01086996723087879,0.004130032769121209
0.9,0.010549272448055367,0.004450727551944631
1.0,0.010259095808793318,0.0047409041912066805
1.1,0.009996533127743536,0.005003466872256463
1.2,0.009758956589350998,0.005241043410649
1.3,0.00954398844776231,0.005456011552237689
1.4,0.009349477229566177,0.00565052277043382
1.5,0.00917347620113176,0.005826523798868237
1.6,0.009014223884985647,0.00598577611501435
1.7,0.008870126430415485,0.006129873569584513
1.8,0.008739741661685148,0.006260258338314849
1.9,0.008621764644178957,0.006378235355821041
2.0,0.008515014624281312,0.006484985375718686
2.1,0.008418423211922866,0.006581576788077132
2.2,0.008331023687750997,0.006668976312249001
2.3,0.008251941327944653,0.006748058672055345
2.4,0.008180384649698004,0.006819615350301993
2.5,0.008115637489689723,0.006884362510310275
2.6,0.008057051836612239,0.006942948163387761
2.7,0.008004041345568426,0.0069959586544315715
2.8,0.007956075469743583,0.007043924530256415
2.9,0.007912674150467038,0.00708732584953296
3.0,0.007873403012790676,0.007126596987209322
3.1,0.007837869017987671,0.007162130982012327
3.2,0.00780571652984205,0.007194283470157948
3.3,0.007776623755506363,0.0072233762444936355
3.4,0.007750299524713616,0.007249700475286383
3.5,0.007726480375717089,0.007273519624282909
3.6,0.0077049279184017785,0.00729507208159822
3.7,0.007685426448553651,0.007314573551446347
3.8,0.007667780788952313,0.0073322192110476855
3.9,0.007651814335857036,0.007348185664142963
4.0,0.007637367291654324,0.007362632708345675
4.1,0.0076242950655019594,0.00737570493449804
4.2,0.0076124668261772,0.0073875331738228
4.3,0.007601764192653042,0.007398235807346957
4.4,0.00759208004931998,0.00740791995068002
4.5,0.007583317474059329,0.00741668252594067
4.6,0.007575388768112975,0.007424611231887025
4.7,0.0075682145782746445,0.007431785421725355
4.8,0.00756172310284233,0.007438276897157669
4.9,0.00755584937300817,0.007444150626991829
5.0,0.00755053460247164,0.00744946539752836
