time,P1,P2
0.0,1.5,0.0
0.16,1.5123138819469384,0.2223908796973295
0.32,1.5423824170057954,0.414638027340569
0.48,1.582491124020674,0.5822693049363933
0.64,1.6274572266592633,0.7290331721793981
0.8,1.6738290590875242,0.8576741564979221
0.96,1.719359235898571,0.9703581346226281
1.12,1.7626438706466836,1.0689018755905046
1.28,1.802868566655666,1.1548939741440039
1.44,1.8396266456962107,1.2297567215015177
1.6,1.8727881827086887,1.294776983266465
1.76,1.902405703258595,1.3511217363316328
1.92,1.928646716561111,1.3998467331839886
2.08,1.9517459972201243,1.4419026493572344
2.24,1.9719723866867889,1.4781407663507973
2.4,1.9896062122710911,1.5093189987132016
2.56,2.0049244024506057,1.5361084421543505
2.72,2.0181911164998025,1.559100331482773
2.88,2.029652267806196,1.578813194866089
3.04,2.0395327467475886,1.5956999822691214
3.2,2.048035471649054,1.6101549793436953
3.36,2.0553416387922403,1.6225203654197087
3.52,2.0616117233472764,1.6330923214741995
3.68,2.066986916604189,1.642126634748198
3.84,2.0715907827983457,1.6498437790191829
4.0,2.0755309896787213,1.6564334735073558
4.16,2.078901017739139,1.6620587400576132
4.32,2.081781789018232,1.6668594890127253
4.48,2.084243181424647,1.6709556703921928
4.64,2.0863454116589932,1.6744500298101106
4.8,2.0881402813388084,1.677430509060654
4.96,2.0896722883056698,1.6799723301338243
5.12,2.0909796097186018,1.6821397992860014
5.28,2.0920949660978443,1.683987865025571
5.44,2.093046376809455,1.6855634608713383
5.6,2.093857817829458,1.6869066606382643
5.76,2.094549792422248,1.6880516709828355
5.92,2.0951398248550204,1.6890276830921716
6.08,2.0956428865015395,1.6898596027435804
6.24,2.0960717628667616,1.690568675557485
6.4,2.0964373691946134,1.691173022077471
6.56,2.096749021484836,1.6916880954015001
6.72,2.09701466894639,1.692127072363247
6.88,2.097241093175277,1.6925011877473504
7.04,2.0974340786783876,1.692820019727901
7.2,2.0975985587636408,1.6930917335728808
7.36,2.097738740279815,1.6933232896541075
7.52,2.0978582102170096,1.6935206209425517
7.68,2.09796002676839,1.6936887844431328
7.84,2.098046797088468,1.6938320903664952
8.0,2.0981207436713967,1.6939542122963975
