time,X_
0.0,0.0
0.1,0.1
0.2,0.19999999999999882
0.3,0.29999999999997135
0.4,0.3999999999999607
0.5,0.5
0.6,0.5999999999999999
0.7,0.7
0.8,0.7999999999999995
0.9,0.8999999999999989
1.0,0.9999999999999979
1.1,1.099999999999994
1.2,1.199999999999989
1.3,1.2999999999999916
1.4,1.3999999999999644
1.5,1.4999999999999543
1.6,1.5999999999998564
1.7,1.6999999999999111
1.8,1.7999999999997873
1.9,1.8999999999996744
2.0,1.9999999999989508
2.1,2.0999999999989996
2.2,2.1999999999989917
2.3,2.2999999999990024
2.4,2.39999999999825
2.5,2.4999999999981
2.6,2.6
2.7,2.7
2.8,2.8
2.9,2.9
3.0,3.0
3.1,3.1
3.2,3.1999999999999997
3.3,3.2999999999999994
3.4,3.399999999999999
3.5,3.4999999999999996
3.6,3.599999999999999
3.7,3.699999999999998
3.8,3.7999999999999985
3.9,3.899999999999998
4.0,3.9999999999999964
4.1,4.099999999999997
4.2,4.1999999999999975
4.3,4.299999999999994
4.4,4.399999999999987
4.5,4.499999999999986
4.6,4.599999999999987
4.7,4.699999999999987
4.8,4.799999999999985
4.9,4.89999999999997
5.0,4.999999999999957
5.1,5.0999999999999694
5.2,5.199999999999951
5.3,5.299999999999979
5.4,5.399999999999994
5.5,5.499999999999953
5.6,5.599999999999966
5.7,5.699999999999975
5.8,5.799999999999999
5.9,5.8999999999999835
6.0,5.999999999999912
6.1,6.0999999999998495
6.2,6.199999999999867
6.3,6.299999999999942
6.4,6.399999999999763
6.5,6.4999999999998135
6.6,6.599999999999622
6.7,6.6999999999996005
6.8,6.799999999999672
6.9,6.89999999999971
7.0,6.999999999998969
7.1,7.099999999999551
7.2,7.199999999999144
7.3,7.299999999999379
7.4,7.399999999998866
7.5,7.499999999998844
7.6,7.599999999998502
7.7,7.699999999999244
7.8,7.799999999998206
7.9,7.89999999999933
8.0,7.999999999999695
8.1,8.099999999999275
8.2,8.200000000000106
8.3,8.299999999999287
8.4,8.399999999997778
8.5,8.499999999996165
8.6,8.599999999997433
8.7,8.699999999997694
8.8,8.799999999997132
8.9,8.899999999997178
9.0,8.99999999999902
9.1,9.09999999999507
9.2,9.199999999992569
9.3,9.30000000000073
9.4,9.39999999999239
9.5,9.49999999999649
9.6,9.600000000000565
9.7,9.699999999994985
9.8,9.799999999985628
9.9,9.899999999998133
10.0,10.0
