time,S1_,S2_
0.0,0.0015,0.0
0.12,0.001489238786855178,1.0761213144822227e-5
0.24,0.0014574161508742174,4.258384912578258e-5
0.36,0.0014058823436029642,9.411765639703577e-5
0.48,0.0013367818335987185,0.00016321816640128172
0.6,0.0012529053180253412,0.0002470946819746588
0.72,0.0011575030117929445,0.00034249698820705554
0.84,0.0010540765593284947,0.00044592344067150545
0.96,0.0009461681105743745,0.0005538318894256257
1.08,0.0008371641189930839,0.0006628358810069163
1.2,0.0007301280911550677,0.0007698719088449325
1.32,0.0006276733063989728,0.0008723266936010273
1.44,0.0005318809640450152,0.0009681190359549849
1.56,0.0004442643451934344,0.0010557356548065657
1.68,0.00036577549729274934,0.0011342245027072507
1.8,0.00029684419009412197,0.0012031558099058783
1.92,0.00023745553823175612,0.001262544461768244
2.04,0.00018723746128934552,0.0013127625387106545
2.16,0.0001455299935161654,0.0013544700064838347
2.28,0.0001114932766643299,0.0013885067233356703
2.4,8.42007986216487e-5,0.0014157992013783514
2.52,6.267986379948778e-5,0.0014373201362005124
2.64,4.599004951452087e-5,0.0014540099504854794
2.76,3.326129396903851e-5,0.0014667387060309618
2.88,2.3713271081382346e-5,0.0014762867289186178
3.0,1.6663824897320806e-5,0.0014833361751026793
3.12,1.1543660425829975e-5,0.0014884563395741702
3.24,7.881961594202218e-6,0.001492118038405798
3.36,5.303128934909491e-6,0.0014946968710650907
3.48,3.518949185978677e-6,0.0014964810508140214
3.6,2.3062844496458237e-6,0.0014976937155503542
3.72,1.488917242549069e-6,0.0014985110827574512
3.84,9.495667307999912e-7,0.0014990504332692
3.96,5.959139593510437e-7,0.0014994040860406492
4.08,3.676857547840802e-7,0.001499632314245216
4.2,2.244956615671453e-7,0.001499775504338433
4.32,1.363982991526289e-7,0.0014998636017008475
4.44,8.155740255412949e-8,0.001499918442597446
4.56,4.8598562333354286e-8,0.0014999514014376668
4.68,2.801974551719759e-8,0.001499971980254483
4.8,1.679603449685662e-8,0.0014999832039655032
4.92,1.2005101821527339e-8,0.0014999879948981785
5.04,9.446033293372213e-9,0.0014999905539667068
5.16,7.0819630424045314e-9,0.0014999929180369578
5.28,5.074422737896799e-9,0.0014999949255772621
5.4,2.8228612116651478e-9,0.0014999971771387885
5.52,1.5237172012028035e-9,0.001499998476282799
5.64,1.0039653951469958e-9,0.001499998996034605
5.76,7.297454815978466e-10,0.0014999992702545185
5.88,5.061379614021144e-10,0.0014999994938620388
6.0,3.0230900358189854e-10,0.0014999996976909967
