time,S1,S2,S3,S4
0.0,1.0e-5,1.5e-5,1.0e-5,1.5000000000000002e-5
0.2,1.0921716851678924e-5,1.5921716851678924e-5,9.078283148321077e-6,1.6382575277518385e-5
0.4,1.1753222485490483e-5,1.675322248549048e-5,8.246777514509519e-6,1.7629833728235725e-5
0.6,1.2503346146354646e-5,1.7503346146354643e-5,7.496653853645356e-6,1.8755019219531968e-5
0.8,1.3180052934266283e-5,1.8180052934266283e-5,6.819947065733719e-6,1.9770079401399425e-5
1.0,1.3790528380778563e-5,1.879052838077856e-5,6.209471619221438e-6,2.0685792571167844e-5
1.2,1.4341254747726117e-5,1.9341254747726115e-5,5.658745252273883e-6,2.1511882121589175e-5
1.4,1.483807985835747e-5,1.9838079858357468e-5,5.161920141642533e-6,2.2257119787536204e-5
1.6,1.5286279191751453e-5,2.028627919175145e-5,4.713720808248549e-6,2.292941878762718e-5
1.8,1.5690611899910868e-5,2.0690611899910868e-5,4.309388100089132e-6,2.3535917849866302e-5
2.0,1.6055371342199443e-5,2.105537134219944e-5,3.944628657800559e-6,2.4083057013299165e-5
2.2,1.638443067393022e-5,2.1384430673930218e-5,3.6155693260697837e-6,2.4576646010895328e-5
2.4,1.6681283972952068e-5,2.1681283972952068e-5,3.318716027047932e-6,2.50219259594281e-5
2.6,1.694908334114306e-5,2.1949083341143055e-5,3.050916658856945e-6,2.5423625011714588e-5
2.8,1.7190672374692842e-5,2.2190672374692838e-5,2.80932762530716e-6,2.578600856203926e-5
3.0,1.740861635835573e-5,2.2408616358355725e-5,2.5913836416442733e-6,2.611292453753359e-5
3.2,1.760522950473038e-5,2.2605229504730383e-5,2.3947704952696196e-6,2.640784425709557e-5
3.4,1.7782599527425216e-5,2.2782599527425222e-5,2.2174004725747823e-6,2.6673899291137824e-5
3.6,1.794260980916739e-5,2.2942609809167394e-5,2.0573901908326086e-6,2.6913914713751085e-5
3.8,1.808695940034861e-5,2.308695940034861e-5,1.9130405996513905e-6,2.7130439100522916e-5
4.0,1.8217181060187363e-5,2.3217181060187363e-5,1.78281893981264e-6,2.7325771590281045e-5
4.2,1.8334657532050706e-5,2.3334657532050706e-5,1.6653424679492946e-6,2.750198629807606e-5
4.4,1.8440636226081407e-5,2.344063622608141e-5,1.559363773918593e-6,2.766095433912211e-5
4.6,1.8536242464578366e-5,2.3536242464578366e-5,1.4637575354216357e-6,2.780436369686755e-5
4.8,1.8622491431140077e-5,2.3622491431140077e-5,1.3775085688599245e-6,2.7933737146710116e-5
5.0,1.8700298950295685e-5,2.3700298950295684e-5,1.2997010497043165e-6,2.8050448425443527e-5
5.2,1.877049121210126e-5,2.377049121210126e-5,1.2295087878987414e-6,2.815573681815189e-5
5.4,1.883381354479677e-5,2.3833813544796773e-5,1.1661864552032308e-6,2.8250720317195155e-5
5.6,1.889093832915007e-5,2.3890938329150067e-5,1.1090616708499319e-6,2.8336407493725105e-5
5.8,1.8942472137984022e-5,2.3942472137984025e-5,1.0575278620159794e-6,2.8413708206976035e-5
6.0,1.898896217695993e-5,2.3988962176959934e-5,1.0110378230400704e-6,2.8483443265439895e-5
6.2,1.903090209509708e-5,2.4030902095097083e-5,9.690979049029223e-7,2.854635314264562e-5
6.4,1.9068737226531115e-5,2.4068737226531118e-5,9.312627734688854e-7,2.8603105839796675e-5
6.6,1.9102869319156327e-5,2.410286931915633e-5,8.971306808436736e-7,2.865430397873449e-5
6.8,1.9133660800561694e-5,2.4133660800561697e-5,8.663391994383079e-7,2.870049120084254e-5
7.0,1.9161438626510992e-5,2.4161438626510995e-5,8.385613734890085e-7,2.8742157939766487e-5
7.2,1.918649775255565e-5,2.4186497752555653e-5,8.135022474443509e-7,2.8779746628833476e-5
7.4,1.9209104266078334e-5,2.420910426607834e-5,7.908957339216667e-7,2.88136563991175e-5
7.6,1.9229498211688178e-5,2.422949821168818e-5,7.705017883118243e-7,2.8844247317532268e-5
7.8,1.9247896140143768e-5,2.424789614014377e-5,7.521038598562338e-7,2.887184421021565e-5
8.0,1.9264493407665596e-5,2.4264493407665603e-5,7.355065923344051e-7,2.8896740111498396e-5
8.2,1.927946625037065e-5,2.4279466250370658e-5,7.205337496293486e-7,2.8919199375555977e-5
8.4,1.9292973655665845e-5,2.4292973655665855e-5,7.070263443341526e-7,2.8939460483498766e-5
8.6,1.930515905031472e-5,2.4305159050314726e-5,6.948409496852804e-7,2.895773857547208e-5
8.8,1.93161518234991e-5,2.4316151823499108e-5,6.838481765008988e-7,2.8974227735248652e-5
9.0,1.9326068700688223e-5,2.432606870068823e-5,6.73931299311779e-7,2.8989103051032334e-5
9.2,1.933501498310891e-5,2.4335014983108914e-5,6.649850168910925e-7,2.9002522474663365e-5
9.4,1.9343085665803513e-5,2.434308566580352e-5,6.569143341964881e-7,2.901462849870527e-5
9.6,1.9350366446345727e-5,2.4350366446345733e-5,6.496335536542743e-7,2.9025549669518588e-5
9.8,1.9356934634870277e-5,2.435693463487028e-5,6.430653651297267e-7,2.9035401952305413e-5
10.0,1.936285997490964e-5,2.4362859974909645e-5,6.371400250903628e-7,2.9044289962364458e-5
