time,C1,S1_,x
0.0,0.5,0.0,0.0
0.1,0.5199999999999962,0.020399999999995838,0.03923076923076151
0.2,0.54,0.04159999999999995,0.07703703703703693
0.3,0.5599999999999994,0.06359999999999759,0.1135714285714244
0.4,0.5800000000000023,0.0864000000000024,0.14896551724138288
0.5,0.6000000000000001,0.12990000000000004,0.21650000000000005
0.6,0.6199999999999999,0.15429999999999974,0.24887096774193512
0.7,0.6399999999999983,0.1794999999999977,0.2804687499999971
0.8,0.6599999999999895,0.20549999999998472,0.3113636363636182
0.9,0.6799999999999251,0.23229999999989828,0.34161764705871156
1.0,0.7000000000000001,0.2599,0.3712857142857143
