time,S1_,S2_,S3_,S4_,S5_
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7,1.0e-6
0.06,9.118290196814224e-7,1.4118290196814224e-6,2.0881709803185775e-6,5.881709803185776e-7,1.0e-6
0.12,8.41758827811361e-7,1.341758827811361e-6,2.1582411721886387e-6,6.58241172188639e-7,1.0e-6
0.18,7.855985922168442e-7,1.2855985922168442e-6,2.2144014077831557e-6,7.144014077831558e-7,1.0e-6
0.24,7.40279844627053e-7,1.2402798446270531e-6,2.2597201553729466e-6,7.59720155372947e-7,1.0e-6
0.3,7.035085821137438e-7,1.2035085821137438e-6,2.2964914178862557e-6,7.964914178862561e-7,1.0e-6
0.36,6.735396929847517e-7,1.1735396929847517e-6,2.3264603070152476e-6,8.264603070152482e-7,1.0e-6
0.42,6.49026140220315e-7,1.149026140220315e-6,2.3509738597796847e-6,8.50973859779685e-7,1.0e-6
0.48,6.289153782702787e-7,1.1289153782702789e-6,2.3710846217297206e-6,8.710846217297213e-7,1.0e-6
0.54,6.123764991267215e-7,1.1123764991267215e-6,2.3876235008732778e-6,8.876235008732786e-7,1.0e-6
0.6,5.987478978150319e-7,1.098747897815032e-6,2.4012521021849673e-6,9.012521021849681e-7,1.0e-6
0.66,5.874989640398678e-7,1.0874989640398677e-6,2.4125010359601316e-6,9.125010359601323e-7,1.0e-6
0.72,5.782015667853749e-7,1.0782015667853747e-6,2.4217984332146246e-6,9.217984332146252e-7,1.0e-6
0.78,5.705085095542843e-7,1.0705085095542844e-6,2.429491490445715e-6,9.294914904457157e-7,1.0e-6
0.84,5.641370355221022e-7,1.064137035522102e-6,2.435862964477897e-6,9.358629644778978e-7,1.0e-6
0.9,5.58856050600666e-7,1.058856050600666e-6,2.441143949399333e-6,9.411439493993341e-7,1.0e-6
0.96,5.544761243173377e-7,1.0544761243173375e-6,2.4455238756826616e-6,9.455238756826624e-7,1.0e-6
1.02,5.508415940791689e-7,1.0508415940791689e-6,2.4491584059208307e-6,9.491584059208312e-7,1.0e-6
1.08,5.47824281540234e-7,1.047824281540234e-6,2.4521757184597655e-6,9.521757184597661e-7,1.0e-6
1.14,5.453184580539295e-7,1.0453184580539295e-6,2.45468154194607e-6,9.546815419460706e-7,1.0e-6
1.2,5.432367874854997e-7,1.0432367874854998e-6,2.4567632125144996e-6,9.567632125145004e-7,1.0e-6
1.26,5.415070402598613e-7,1.0415070402598615e-6,2.458492959740138e-6,9.584929597401386e-7,1.0e-6
1.32,5.400694207879657e-7,1.0400694207879658e-6,2.459930579212034e-6,9.599305792120343e-7,1.0e-6
