time,C1,S1_,x
0.0,0.5,0.0,0.0
0.1,0.5199999999999996,0.02039999999999959,0.03923076923076847
0.2,0.5399999999999929,0.041599999999991796,0.07703703703702286
0.3,0.5599999999999999,0.0636,0.11357142857142859
0.4,0.5799999999999963,0.08639999999999558,0.14896551724137264
0.5,0.5999999999999994,0.12196070863670419,0.2032678477278405
0.6,0.6199999999999993,0.1463607086367041,0.2360656590914585
0.7,0.6399999999999989,0.17156070863670347,0.2680636072448496
0.8,0.6599999999999927,0.19756070863669473,0.29933440702529834
0.9,0.6799999999999435,0.22436070863663035,0.3299422185833073
1.0,0.6999999999999994,0.25196070863670406,0.3599438694810061
