time,S1_,C,k1
0.0,0.0,1.0,-5.0
1.0,-4.499999999991514,1.0,-4.000000000002005
2.0,-7.999999999999997,1.0,-3.000000000000003
3.0,-10.500000000000005,1.0,-2.0000000000000613
4.0,-12.000000000000394,1.0,-1.0000000000008877
5.0,-12.500000000007132,1.0,-1.3351669379359312e-12
6.0,-12.000000000000009,1.0,0.9999999999999987
7.0,-10.50000000000007,1.0,1.9999999999999816
8.0,-8.000000000000755,1.0,2.999999999999871
9.0,-4.5000000000062785,1.0,3.9999999999986686
10.0,-1.025939856271124e-14,1.0,4.999999999999999
