time,S1_,S2_
0.0,1.5e-6,1.0e-6
0.01,1.5e-6,1.0225e-6
0.02,1.5e-6,1.045e-6
0.03,1.5e-6,1.0675e-6
0.04,1.5e-6,1.09e-6
0.05,1.5e-6,1.1125e-6
0.06,1.5e-6,1.135e-6
0.07,1.5e-6,1.1575e-6
0.08,1.5e-6,1.1799999999999997e-6
0.09,1.5e-6,1.2024999999999993e-6
0.1,1.5e-6,1.2249999999999993e-6
0.11,1.5e-6,1.2474999999999995e-6
0.12,1.5e-6,1.269999999999998e-6
0.13,1.5e-6,1.2924999999999993e-6
0.14,1.5e-6,1.3149999999999993e-6
0.15,1.5e-6,1.3374999999999986e-6
0.16,1.5e-6,1.359999999999993e-6
0.17,1.5e-6,1.382499999999994e-6
0.18,1.5e-6,1.4049999999999933e-6
0.19,1.5e-6,1.427500000000009e-6
0.2,1.5e-6,1.4499999999999755e-6
0.21,1.5e-6,1.4724999999999736e-6
0.22,1.5e-6,1.4949999999999408e-6
0.23,1.5e-6,1.5175000000000054e-6
0.24,1.5e-6,1.5400000000000128e-6
0.25,1.5e-6,1.5624999999999838e-6
0.26,1.5e-6,1.5849999999999564e-6
0.27,1.5e-6,1.6074999999999666e-6
0.28,1.5e-6,1.629999999999776e-6
0.29,1.5e-6,1.6524999999998052e-6
0.3,1.5e-6,1.6749999999999192e-6
0.31,1.5e-6,1.6974999999997843e-6
0.32,1.5e-6,1.7199999999999156e-6
0.33,1.5e-6,1.7424999999997944e-6
0.34,1.5e-6,1.7650000000000454e-6
0.35,1.5e-6,1.7874999999997868e-6
0.36,1.5e-6,1.8100000000000729e-6
0.37,1.5e-6,1.8325000000003221e-6
0.38,1.5e-6,1.8550000000000627e-6
0.39,1.5e-6,1.8774999999995882e-6
0.4,1.5e-6,1.8999999999996978e-6
0.41,1.5e-6,1.922499999998846e-6
0.42,1.5e-6,1.944999999998611e-6
0.43,1.5e-6,1.967499999999503e-6
0.44,1.5e-6,1.9899999999989556e-6
0.45,1.5e-6,2.0125e-6
0.46,1.5e-6,2.0349999999999996e-6
0.47,1.5e-6,2.0574999999999994e-6
0.48,1.5e-6,2.0799999999999907e-6
0.49,1.5e-6,2.102499999999988e-6
0.5,1.5e-6,2.125e-6
