time,C1,S1_,x
0.0,0.5,3.0,6.0
0.1,0.5199999999999825,2.8846153846154814,5.547337278106882
0.2,0.5399999999999999,2.777777777777874,5.1440329218108785
0.3,0.5599999999999992,2.6785714285715834,4.783163265306406
0.4,0.5799999999999939,2.5862068965519005,4.458977407848152
0.5,0.5999999999999811,2.4999999999999853,4.1666666666667735
0.6,0.62,2.419354838709868,3.9021852237255934
0.7,0.6399999999999998,2.343749999999958,3.662109374999935
0.8,0.6599999999999967,2.272727272727587,3.4435261707993914
0.9,0.6799999999999897,2.205882352941335,3.243944636678483
1.0,0.7,2.1428571428571432,3.061224489795919
