time,c
0.0,0.7333333333333334
0.16,0.7944105162949697
0.32,0.8605746387273084
0.48,0.9322493769020233
0.64,1.0098936938462908
0.8,1.0940047782700366
0.96,1.1851212282746777
1.12,1.2838265002168334
1.28,1.3907526448238623
1.44,1.5065843544703923
1.6,1.6320633475602568
1.76,1.7679931180385204
1.92,1.9152440805108717
2.08,2.0747591438596307
2.24,2.2475597490777077
2.4,2.4347524100041364
2.56,2.637535798750661
2.72,2.8572084213183406
2.88,3.095176932470701
3.04,3.3529651431026224
3.2,3.63222377787097
3.36,3.934741045486362
3.52,4.26245408922696
3.68,4.6174613914333715
3.84,5.0020362108399965
4.0,5.418641139213386
4.16,5.869943870439185
4.32,6.358834282871471
4.48,6.888442944129212
4.64,7.462161157832755
4.8,8.083662679216642
4.96,8.756927239803792
5.12,9.48626603128935
5.28,10.276349312300496
5.44,11.132236313004517
5.6,12.059407632193658
5.76,13.063800331923279
5.92,14.151845954306811
6.08,15.3305117057056
6.24,16.607345071446694
6.4,17.9905221446325
6.56,19.48889998004558
6.72,21.11207331177618
6.88,22.870435990733473
7.04,24.77524754085761
7.2,26.838705258535832
7.36,29.07402231957983
7.52,31.495512384839493
7.68,34.118681256306346
7.84,36.96032617161925
8.0,40.03864335934732
