time,c
0.0,1.65
0.04,1.7345973090204412
0.08,1.8235320148247707
0.12,1.9170265005016736
0.16,2.015314550964202
0.2,2.1186419375346546
0.24,2.2272670325003645
0.28,2.341461455178487
0.32,2.461510751107517
0.36,2.5877151060589942
0.4,2.720390096654579
0.44,2.859867479478727
0.48,3.0064960206423117
0.52,3.160642367872222
0.56,3.3226919673249933
0.6,3.4930500274110656
0.64,3.672142532014078
0.68,3.8604173056801128
0.72,4.058345133407512
0.76,4.266420937864512
0.8,4.485165016952529
0.84,4.715124344803313
0.88,4.956873939510892
0.92,5.211018300989018
0.96,5.47819292252237
1.0,5.759065879821046
1.04,6.054339501576893
1.08,6.364752125633022
1.12,6.691079945266085
1.16,7.034138950014288
1.2,7.394786966056365
1.24,7.773925801271222
1.28,8.172503500256541
1.32,8.591516714870114
1.36,9.032013196384012
1.4,9.495094415443116
1.44,9.981918316261677
1.48,10.493702212224939
1.52,11.031725829710552
1.56,11.597334507968844
1.6,12.19194256324387
1.64,12.817036825410408
1.68,13.474180355787695
1.72,14.165016355442686
1.76,14.891272274176373
1.8,15.654764130104581
1.84,16.45740105056148
1.88,17.301190045926237
1.92,18.188241028189616
1.96,19.12077208685645
2.0,20.101115035311587
