time,X_,Y_
0.0,1.0,1.0
0.1,1.1000000000000008,1.1051709180756435
0.2,1.199999999999797,1.2214027581599267
0.3,1.2999999999999998,1.3498588076052465
0.4,1.3999999999999997,1.4918246974387812
0.5,1.4999999999999962,1.6487212702512757
0.6,1.599999999999966,1.8221188001673494
0.7,1.7000000000000146,2.0137527072859496
0.8,1.7999999999995329,2.225540928428332
0.9,1.9,2.459603111350236
1.0,1.9999999999999998,2.7182818301154676
1.1,2.099999999999999,3.0041660181738252
1.2,2.199999999999995,3.3201169051772386
1.3,2.299999999999987,3.6692966509456464
1.4,2.399999999999907,4.055199958014342
1.5,2.4999999999997824,4.481689062087166
1.6,2.5999999999995613,4.953032416100947
1.7,2.6999999999993523,5.473947394321058
1.8,2.8,6.049647471893604
1.9,2.9,6.685894457048012
2.0,2.9999999999999996,7.389056072380058
2.1,3.0999999999999948,8.166169828374143
2.2,3.1999999999999855,9.02501341640631
2.3,3.2999999999999594,9.974182411806604
2.4,3.399999999999869,11.023176349181517
2.5,3.499999999999554,12.182493921209081
2.6,3.599999999999858,13.463738035162633
2.7,3.699999999998602,14.879731771278182
2.8,3.8,16.44464686259004
2.9,3.8999999999999995,18.174145415338838
3.0,3.9999999999999982,20.085536607616024
3.1,4.099999999999997,22.19795066979985
3.2,4.199999999999983,24.53252966423025
3.3,4.299999999999939,27.112638636800565
3.4,4.400000000000005,29.964099829525
3.5,4.499999999999815,33.11545167792623
3.6,4.599999999999198,36.5982343508509
3.7,4.699999999998925,40.44730462383787
3.8,4.8,44.701184893725745
3.9,4.8999999999999995,49.402449753266225
4.0,5.0,54.59814949371966
4.1,5.099999999999996,60.340285092108985
4.2,5.199999999999995,66.68632784838786
4.3,5.299999999999961,73.69979147297518
4.4,5.399999999999995,81.45086752249988
4.5,5.4999999999999485,90.0171301645013
4.6,5.5999999999996755,99.48431430999095
4.7,5.699999999999857,109.9471723565871
4.8,5.799999999999147,121.5104191338989
4.9,5.9,134.28978203056965
5.0,6.0,148.41316284906378
5.1,6.1,164.02190545435863
5.2,6.199999999999997,181.27222979135135
5.3,6.299999999999992,200.33679281942216
5.4,6.4,221.4064026572792
5.5,6.499999999999941,244.69192503535413
5.6,6.599999999999882,270.42640201521357
5.7,6.699999999999853,298.8673937577209
5.8,6.799999999999843,330.2995554020461
5.9,6.899999999999404,365.037472855578
6.0,7.0,403.42880349207246
6.1,7.1,445.8577874818837
6.2,7.2,492.7490561173739
6.3,7.3,544.5718864352997
6.4,7.399999999999998,601.8449683894755
6.5,7.499999999999995,665.1415510024755
6.6,7.599999999999972,735.0951309807871
6.7,7.699999999999894,812.405794938619
6.8,7.799999999999844,897.8472660655618
6.9,7.899999999999966,992.2746817381811
7.0,7.99999999999956,1096.6331402187661
7.1,8.099999999999591,1211.9671022037965
7.2,8.200000000000232,1339.4308165737102
7.3,8.3,1480.3000134729305
7.4,8.4,1635.984518130265
7.5,8.5,1808.042338109426
7.6,8.599999999999996,1998.195594480495
7.7,8.699999999999996,2208.347596368012
7.8,8.799999999999981,2440.6016666370047
7.9,8.899999999999864,2697.2821610905853
8.0,8.999999999999934,2980.9578770331823
8.1,9.09999999999965,3294.467928803565
8.2,9.199999999999696,3640.9501779403813
8.3,9.299999999999388,4023.8724439203293
8.4,9.399999999999643,4447.066988068972
8.5,9.5,4914.769154643834
8.6,9.6,5431.66010874344
8.7,9.7,6002.912384243801
8.8,9.799999999999999,6634.243186367836
8.9,9.899999999999993,7331.971875803053
9.0,9.999999999999993,8103.082198317755
9.1,10.099999999999952,8955.291557975614
9.2,10.19999999999994,9897.128483901453
9.3,10.299999999999818,10938.01871368974
9.4,10.399999999999842,12088.380059899982
9.5,10.499999999999934,13359.726439562377
9.6,10.600000000000179,14764.78213036298
9.7,10.699999999999024,16317.608470980873
9.8,10.8,18033.74634732972
9.9,10.899999999999958,19930.372007021095
10.0,11.0,22026.467528590063
