time,C1,C2
0.0,0.015,0.01
0.06,0.015518116537099632,0.01025886470521906
0.12,0.016052807579055417,0.010525620134389414
0.18,0.016604597381335788,0.01080051397208597
0.24,0.017174026752700647,0.011083801714126505
0.3,0.01776165357772609,0.011375746914096829
0.36,0.018368053355822703,0.01167662143765732
0.42,0.018993819757267355,0.011986705724876128
0.48,0.01963956519678401,0.012306289060841635
0.54,0.020305921425254773,0.01263566985482902
0.6,0.020993540140030662,0.012975155928240082
0.66,0.021703093614620087,0.01332506481168771
0.72,0.022435275348169855,0.013685724051416031
0.78,0.023190800735474193,0.014057471525406194
0.84,0.02397040775812565,0.014440655769456329
0.9,0.02477485769748811,0.014835636313556817
0.96,0.025604935870174875,0.015242784028882971
1.02,0.02646145238674945,0.015662481485743923
1.08,0.027345242934344437,0.01609512332281523
1.14,0.02825716958404627,0.016541116628056705
1.2,0.029198121623653338,0.01700088133159866
1.26,0.03016901641684656,0.01747485061109159
1.32,0.03117080028939958,0.017963471309811307
1.38,0.03220444944340389,0.018467204367981088
1.44,0.03327097090033687,0.018986525267701546
1.5,0.03437140347387036,0.019521924491911542
1.56,0.03550681877339644,0.020073907997840833
1.62,0.036678322239252104,0.020642997705417724
1.68,0.03788705421061868,0.021229732001091933
1.74,0.039134191027134814,0.021834666257562998
1.8,0.04042094616528234,0.022458373369914186
1.86,0.04174857141053362,0.023101444308616565
1.92,0.04311835806669822,0.0237644886900859
1.98,0.04453163820326065,0.02444813536515954
2.04,0.045989785942201246,0.025153033026202944
2.1,0.04749421878536334,0.025879850833344983
2.16,0.049046398983806284,0.026629279060520563
2.22,0.050647834950348865,0.027402029761890236
2.28,0.05230008271662705,0.028198837459260623
2.34,0.054004747436156894,0.02902045985120924
2.4,0.055763484934887406,0.029867678544614223
2.46,0.05757800331071183,0.03074129980928153
2.52,0.0594500645834903,0.03164215535640272
2.58,0.06138148639710646,0.03257110314156096
2.64,0.06337414377523848,0.03352902819307902
2.7,0.06542997093247443,0.03451684346647683
2.76,0.06755096314268143,0.03553549072594105
2.82,0.06973917866657652,0.03658594145372547
2.88,0.07199674073961371,0.037669197788003976
2.94,0.07432583962317027,0.03878629349059223
3.0,0.07672873472008444,0.03993829494502487
