time,C1,C2
0.0,0.015,0.01
0.06,0.015578359953805848,0.010212998645570763
0.12,0.016173764274139794,0.010432110828208068
0.18,0.016786710279992637,0.010657514725306703
0.24,0.017417709794906942,0.010889393710638335
0.3,0.018067289569999527,0.01112793650590249
0.36,0.01873599171933201,0.01137333733670146
0.42,0.01942437416795346,0.011625796093054832
0.48,0.02013301111304352,0.011885518494607662
0.54,0.020862493498481776,0.012152716260648495
0.6,0.02161342950326288,0.012427607285087783
0.66,0.022386445044160794,0.012710415816541205
0.72,0.023182184293049274,0.013001372643663633
0.78,0.024001310209309613,0.013300715285888264
0.84,0.024844505087771505,0.013608688189730603
0.9,0.025712471122623624,0.013925542930813675
0.96,0.026605930987783702,0.014251538421790064
1.02,0.027525628434186208,0.014586941126324724
1.08,0.028472328904491917,0.014932025279319366
1.14,0.02944682016572703,0.01528707311356021
1.2,0.03044991296037178,0.015652375092975446
1.26,0.03148244167643804,0.016028230152695597
1.32,0.03254526503709078,0.016414945946115655
1.38,0.03363926681037898,0.016812839099161574
1.44,0.034765356539675454,0.017222235471975874
1.5,0.035924470295395694,0.01764347042822657
1.56,0.03711757144869319,0.018076889112289572
1.62,0.03834565146763042,0.018522846734482682
1.68,0.03960973073667104,0.018981708864655163
1.74,0.04091085940000849,0.01945385173431651
1.8,0.04225011822949512,0.019939662547578584
1.86,0.043628619517920984,0.02043953980117964
1.92,0.04504750799829213,0.020953893613822622
1.98,0.0465079617899684,0.021483146065136297
2.04,0.048011193372369934,0.022027731544512978
2.1,0.04955845058707548,0.02258809711011778
2.16,0.051151017669179975,0.023164702858380407
2.22,0.05279021630868016,0.02375802230424448
2.28,0.054477406742868315,0.02436854277252596
2.34,0.0562139888805545,0.02499676580067426
2.4,0.05800140345907134,0.02564320755327796
2.46,0.0598411332350788,0.02630839924867975
2.52,0.06173470420998007,0.02699288759799077
2.58,0.06368368689122243,0.027697235256961394
2.64,0.06568969759028341,0.028422021290994512
2.7,0.06775439975853194,0.029167841653727933
2.76,0.06987950536211053,0.029935309679596424
2.82,0.07206677629677913,0.03072505659071005
2.88,0.07431802584418985,0.03153773201857586
2.94,0.07663512017052027,0.032374004540994504
3.0,0.07901997986884314,0.033234562234625876
