time,C,P2_,P3_,P4_,P5_,P6_,P7_,P8_,P9_,P10_,P11_,P12_,P13_,P14_,P15_,P16_,P17_,P18_,P19_,P20_,P21_,P22_,P23_,P24_,P25_,P26_,P27_,P28_,P29_,P30_,P31_,P32_,P33_,P34_,P35_,P36_,P37_,P38_,P39_
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
2.0,1.0,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508
3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,1.0,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964
5.0,1.0,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957
6.0,1.0,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912
7.0,1.0,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969
8.0,1.0,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695
9.0,1.0,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902
