time,S1_,S2_,S3_,S4_
0.0,0.1,0.2,0.0,0.0
0.1,0.09759144954428507,0.2,0.0019999866667733163,0.0019999866667733163
0.2,0.09535693254750263,0.2,0.003999893336745862,0.003999893336745862
0.3,0.0932838739586465,0.2,0.005999640025916984,0.005999640025916984
0.4,0.09136060735533412,0.2,0.00799914677587919,0.00799914677587919
0.5,0.0895763092940832,0.2,0.009998333666599222,0.009998333666599222
0.6,0.08792093840489887,0.2,0.01199712082919834,0.01199712082919834
0.7,0.08638517885304477,0.2,0.01399542845870249,0.01399542845870249
0.8,0.08496038792205139,0.2,0.01599317682677667,0.01599317682677667
0.9,0.08363854739788935,0.2,0.017990286294432594,0.017990286294432594
1.0,0.08241221845185431,0.2,0.01998667732470497,0.01998667732470497
1.1,0.08127449976573792,0.2,0.021982270495295227,0.021982270495295227
1.2,0.08021898867646668,0.2,0.023976986511168363,0.023976986511168363
1.3,0.07923974513829113,0.2,0.02597074621713792,0.02597074621713792
1.4,0.07833125830898269,0.2,0.027963470610336993,0.027963470610336993
1.5,0.07748841556189194,0.2,0.029955080852738993,0.029955080852738993
1.6,0.07670647370906875,0.2,0.031945498283461375,0.031945498283461375
1.7,0.0759810322496268,0.2,0.03393464443125045,0.03393464443125045
1.8,0.07530800868133539,0.2,0.0359224410266574,0.0359224410266574
1.9,0.07468361551349231,0.2,0.03790881001429384,0.03790881001429384
2.0,0.07410433888385082,0.2,0.03989367356496834,0.03989367356496834
2.1,0.07356691878531844,0.2,0.04187695408775306,0.04187695408775306
2.2,0.07306833075206878,0.2,0.04385857424197076,0.04385857424197076
2.3,0.07260576887197319,0.2,0.045838456949097724,0.045838456949097724
2.4,0.07217663001376488,0.2,0.0478165254045801,0.0478165254045801
2.5,0.07177849917541301,0.2,0.04979270308955677,0.04979270308955677
2.6,0.07140913587480774,0.2,0.05176691378249088,0.05176691378249088
2.7,0.07106646151504374,0.2,0.05373908157069763,0.05373908157069763
2.8,0.07074854766432871,0.2,0.05570913086177801,0.05570913086177801
2.9,0.07045360519485071,0.2,0.057676986394927056,0.057676986394927056
3.0,0.07017997422579637,0.2,0.05964257325217593,0.05964257325217593
3.1,0.06992611481313915,0.2,0.061605816869441825,0.061605816869441825
3.2,0.0696905983227814,0.2,0.06356664304757956,0.06356664304757956
3.3,0.0694720994142199,0.2,0.0655249779631662,0.0655249779631662
3.4,0.0692693885489023,0.2,0.06748074817931578,0.06748074817931578
3.5,0.06908132493618405,0.2,0.06943388065634205,0.06943388065634205
3.6,0.06890685014777957,0.2,0.07138430276195824,0.07138430276195824
3.7,0.06874498230507614,0.2,0.07333194228201229,0.07333194228201229
3.8,0.06859481047582706,0.2,0.07527672743048414,0.07527672743048414
3.9,0.06845548954137273,0.2,0.07721858685961577,0.07721858685961577
4.0,0.06832623544628687,0.2,0.07915744966985172,0.07915744966985172
4.1,0.06820632079184079,0.2,0.08109324541963485,0.08109324541963485
4.2,0.06809507074452947,0.2,0.08302590413505832,0.08302590413505832
4.3,0.06799185923614846,0.2,0.08495535631936486,0.08495535631936486
4.4,0.06789610543584079,0.2,0.0868815329622989,0.0868815329622989
4.5,0.0678072704771518,0.2,0.08880436554930347,0.08880436554930347
4.6,0.06772485442443203,0.2,0.09072378607055533,0.09072378607055533
4.7,0.0676483934629177,0.2,0.09263972702986882,0.09263972702986882
4.8,0.06757745729549848,0.2,0.09455212145337098,0.09455212145337098
4.9,0.0675116467265344,0.2,0.09646090289811507,0.09646090289811507
5.0,0.0674505914091413,0.2,0.09836600546044752,0.09836600546044752
