time,S1,S2,S3,S4
0.0,1.0e-5,1.5e-5,1.0e-5,2.25e-5
0.02,1.0504309480348576e-5,1.5504309480348574e-5,9.495690519651426e-6,2.325646422052286e-5
0.04,1.0926411240105012e-5,1.592641124010501e-5,9.073588759894988e-6,2.388961686015752e-5
0.06,1.1278807966790003e-5,1.627880796679e-5,8.721192033209999e-6,2.4418211950185e-5
0.08,1.1572386014881284e-5,1.657238601488128e-5,8.42761398511872e-6,2.4858579022321922e-5
0.1,1.1816530108600862e-5,1.6816530108600858e-5,8.183469891399141e-6,2.5224795162901287e-5
0.12,1.2019265327432517e-5,1.7019265327432514e-5,7.980734672567487e-6,2.552889799114877e-5
0.14,1.2187409158626697e-5,1.7187409158626695e-5,7.812590841373307e-6,2.5781113737940042e-5
0.16,1.232672228347369e-5,1.732672228347369e-5,7.673277716526316e-6,2.5990083425210533e-5
0.18,1.2442051145921332e-5,1.744205114592133e-5,7.557948854078672e-6,2.6163076718881993e-5
0.2,1.2537458466710805e-5,1.75374584667108e-5,7.4625415332892e-6,2.6306187700066202e-5
0.22,1.2616339993827956e-5,1.7616339993827954e-5,7.383660006172049e-6,2.642450999074193e-5
0.24,1.2681527166095903e-5,1.76815271660959e-5,7.318472833904102e-6,2.652229074914385e-5
0.26,1.2735376221977492e-5,1.773537622197749e-5,7.264623778022514e-6,2.6603064332966237e-5
0.28,1.2779844762405616e-5,1.7779844762405614e-5,7.220155237594389e-6,2.6669767143608422e-5
0.3,1.2816557018984007e-5,1.7816557018984004e-5,7.183442981015997e-6,2.6724835528476007e-5
0.32,1.2846859140303986e-5,1.7846859140303985e-5,7.1531408596960166e-6,2.6770288710455977e-5
0.34,1.2871865791874894e-5,1.7871865791874892e-5,7.12813420812511e-6,2.6807798687812338e-5
0.36,1.2892499272537202e-5,1.78924992725372e-5,7.107500727462801e-6,2.6838748908805802e-5
0.38,1.2909522243088587e-5,1.7909522243088585e-5,7.090477756911415e-6,2.6864283364632877e-5
0.4,1.2923565038545844e-5,1.7923565038545844e-5,7.076434961454162e-6,2.6885347557818765e-5
0.42,1.2935148409559919e-5,1.7935148409559917e-5,7.064851590440086e-6,2.6902722614339874e-5
0.44,1.2944702426471792e-5,1.794470242647179e-5,7.055297573528213e-6,2.6917053639707683e-5
0.46,1.2952582168376778e-5,1.7952582168376776e-5,7.047417831623225e-6,2.6928873252565166e-5
0.48,1.2959080731148147e-5,1.7959080731148145e-5,7.0409192688518575e-6,2.6938621096722215e-5
0.5,1.2964440000720901e-5,1.79644400007209e-5,7.035559999279104e-6,2.694666000108135e-5
0.52,1.296885956874646e-5,1.796885956874646e-5,7.031140431253544e-6,2.695328935311969e-5
0.54,1.2972504106682015e-5,1.7972504106682013e-5,7.027495893317988e-6,2.695875616002302e-5
0.56,1.2975509460274394e-5,1.7975509460274392e-5,7.02449053972561e-6,2.6963264190411588e-5
0.58,1.2977987685541972e-5,1.797798768554197e-5,7.022012314458032e-6,2.6966981528312954e-5
0.6,1.2980031208418067e-5,1.7980031208418066e-5,7.019968791581937e-6,2.69700468126271e-5
0.62,1.2981716258578832e-5,1.798171625857883e-5,7.018283741421174e-6,2.6972574387868247e-5
0.64,1.2983105704832976e-5,1.7983105704832976e-5,7.01689429516703e-6,2.6974658557249464e-5
0.66,1.2984251394765808e-5,1.7984251394765806e-5,7.015748605234196e-6,2.697637709214871e-5
0.68,1.298519608487883e-5,1.7985196084878828e-5,7.014803915121173e-6,2.6977794127318242e-5
0.7,1.2985975034197558e-5,1.7985975034197558e-5,7.014024965802446e-6,2.6978962551296337e-5
0.72,1.2986617317998695e-5,1.798661731799869e-5,7.013382682001313e-6,2.6979925976998034e-5
0.74,1.2987146911930058e-5,1.7987146911930055e-5,7.01285308806995e-6,2.6980720367895085e-5
0.76,1.2987583586261509e-5,1.798758358626151e-5,7.012416413738496e-6,2.698137537939226e-5
0.78,1.2987943643310958e-5,1.7987943643310958e-5,7.012056356689047e-6,2.698191546496644e-5
0.8,1.2988240525347156e-5,1.7988240525347152e-5,7.01175947465285e-6,2.698236078802073e-5
0.82,1.298848531650472e-5,1.7988485316504718e-5,7.011514683495285e-6,2.6982727974757075e-5
0.84,1.2988687156399095e-5,1.7988687156399095e-5,7.01131284360091e-6,2.6983030734598642e-5
0.86,1.2988853581002855e-5,1.7988853581002854e-5,7.0111464189971485e-6,2.698328037150428e-5
0.88,1.2988990804242027e-5,1.7988990804242025e-5,7.0110091957579775e-6,2.6983486206363035e-5
0.9,1.2989103949813218e-5,1.7989103949813218e-5,7.010896050186784e-6,2.698365592471983e-5
0.92,1.2989197242437055e-5,1.7989197242437054e-5,7.010802757562949e-6,2.698379586365558e-5
0.94,1.2989274165501278e-5,1.7989274165501276e-5,7.010725834498727e-6,2.6983911248251914e-5
0.96,1.2989337591256296e-5,1.7989337591256294e-5,7.010662408743708e-6,2.698400638688444e-5
0.98,1.2989389888021862e-5,1.7989389888021862e-5,7.010610111978141e-6,2.6984084832032794e-5
1.0,1.2989433008481566e-5,1.7989433008481566e-5,7.01056699151844e-6,2.698414951272235e-5
