time,A1_,A2_,A3_,A4_
0.0,2.0,3.0,4.0,1.0
0.02,2.038065032785549,3.0,3.961934967214451,1.0990066334662232
0.04,2.0725076987681845,3.0,3.9274923012318155,1.1960528042383798
0.06,2.1036727117266674,3.0,3.8963272882733326,1.291177332078707
0.08,2.13187198158486,3.0,3.86812801841514,1.384418268066583
0.1,2.157387736114469,3.0,3.842612263885531,1.4758129098202022
0.12,2.1804753455619164,3.0,3.8195246544380836,1.5653978164142122
0.14,2.201365878482667,3.0,3.798634121517333,1.6532088230059665
0.16,2.2202684143523657,3.0,3.7797315856476343,1.7392810551688984
0.18,2.237372136102962,3.0,3.762627863897038,1.8236489429436626
0.2,2.2528482235308434,3.0,3.7471517764691566,1.9063462346100908
0.22,2.266851566520219,3.0,3.733148433479781,1.9874060101876074
0.24,2.279522315234416,3.0,3.720477684765584,2.066860694667234
0.26,2.290987282785728,3.0,3.709012717214272,2.144742070982128
0.28,2.30136121442268,3.0,3.69863878557732,2.221081292721433
0.3,2.310747935940044,3.0,3.689252064059956,2.2959088965908494
0.32,2.3192413928016458,3.0,3.6807586071983542,2.369254814631545
0.34,2.326926590378336,3.0,3.673073409621664,2.4411483861869523
0.36,2.333880444710832,3.0,3.666119555289168,2.511618369644823
0.38,2.340172552310405,3.0,3.659827447689595,2.58069295393814
0.4,2.3458658867049285,3.0,3.6541341132950715,2.6483997698218036
0.42,2.3510174286984125,3.0,3.6489825713015875,2.714765900924716
0.44,2.355678736654633,3.0,3.644321263345367,2.779817894584294
0.46,2.3598964625104752,3.0,3.6401035374895248,2.843581772465337
0.48,2.3637128186838354,3.0,3.6362871813161646,2.906083040969223
0.5,2.367166000550117,3.0,3.632833999449883,2.967346701436833
0.52,2.370290568713968,3.0,3.629709431286032,3.027397260149028
0.54,2.3731177949037843,3.0,3.6268822050962157,3.0862587381300517
0.56,2.3756759749496204,3.0,3.6243240250503796,3.143954680755906
0.58,2.377990711977151,3.0,3.622009288022849,3.200508167172924
0.6,2.380085172652619,3.0,3.619914827347381,3.255941819529868
0.62,2.3819803190423605,3.0,3.6180196809576395,3.3102778120266274
0.64,2.38369511840843,3.0,3.61630488159157,3.363537879784757
0.66,2.3852467330392977,3.0,3.6147532669607023,3.415743327541486
0.68,2.3866506920156687,3.0,3.6133493079843313,3.4669150381719414
0.7,2.387921046630906,3.0,3.612078953369094,3.5170734810429525
0.72,2.3890705110209303,3.0,3.6109294889790697,3.5662387202001415
0.74,2.390110589411709,3.0,3.609889410588291,3.614430422394828
0.76,2.3910516912573914,3.0,3.6089483087426086,3.6616678649504375
0.78,2.3919032354215406,3.0,3.6080967645784594,3.707969943473782
0.8,2.392673744444391,3.0,3.607326255555609,3.7533551794138926
0.82,2.3933709298391896,3.0,3.6066290701608104,3.797841727470004
0.84,2.394001769271703,3.0,3.605998230728297,3.8414473828546014
0.86,2.3945725763950225,3.0,3.6054274236049775,3.884189588411241
0.88,2.3950890640386793,3.0,3.6049109359613207,3.9260854415920026
0.9,2.3955564013846242,3.0,3.6044435986153758,3.9671517012970052
0.92,2.3959792657020746,3.0,3.6040207342979254,4.00740479457743
0.94,2.3963618891592504,3.0,3.6036381108407496,4.046860823207394
0.96,2.3967081011803266,3.0,3.6032918988196734,4.085535570124427
0.98,2.397021366771568,3.0,3.602978633228432,4.1234445057429205
1.0,2.3973048212003127,3.0,3.6026951787996873,4.160602794142789
