time,c
0.0,1.5
0.05,1.5188676773109517
0.1,1.5379726807866458
0.15,1.5573179956227376
0.2,1.576906644564036
0.25,1.596741688376789
0.3,1.6168262263269475
0.35,1.637163396664418
0.4,1.657756377113456
0.45,1.6786083853691653
0.5,1.6997226796002294
0.55,1.7211025589579207
0.6,1.7427513640924248
0.65,1.7646724776730378
0.7,1.786869324918543
0.75,1.8093453741314756
0.8,1.8321041372402465
0.85,1.8551491703478948
0.9,1.8784840742877333
0.95,1.9021124951859871
1.0,1.9260381250314993
1.05,1.950264702252611
1.1,1.9747960123013117
1.15,1.9996358882446934
1.2,2.0247882113639353
1.25,2.050256911760629
1.3,2.0760459689710644
1.35,2.1021594125878833
1.4,2.128601322889843
1.45,2.155375831479027
1.5,2.18248712192704
1.55,2.2099394304281534
1.6,2.237737046461608
1.65,2.265884313461017
1.7,2.2943856294947307
1.75,2.323245447949832
1.8,2.352468278235329
1.85,2.382058686473992
1.9,2.412021296228752
1.95,2.442360789218343
2.0,2.473081906050271
2.05,2.5041894469615458
2.1,2.5356882725687115
2.15,2.5675833046273815
2.2,2.599879526801145
2.25,2.632581985440527
2.3,2.665695790371043
2.35,2.6992261156924053
2.4,2.7331782005856673
2.45,2.767557350133368
2.5,2.8023689361484245
