time,S1,S2
0.0,0.5,0.5
0.12,0.548,0.5
0.24,0.5960000000000001,0.5
0.36,0.644,0.5
0.48,0.692,0.5
0.6,0.7400000000000002,0.5
0.72,0.7880000000000003,0.5
0.84,0.8360000000000003,0.5
0.96,0.8840000000000003,0.5
1.08,0.9320000000000003,0.5
1.2,0.9800000000000004,0.5
1.32,1.0280000000000005,0.5
1.44,1.0760000000000005,0.5
1.56,1.1240000000000003,0.5
1.68,1.1720000000000004,0.5
1.8,1.2200000000000002,0.5
1.92,1.2680000000000005,0.5
2.04,1.3160000000000005,0.5
2.16,1.3640000000000005,0.5
2.28,1.4120000000000004,0.5
2.4,1.4600000000000002,0.5
2.52,1.5080000000000005,0.5
2.64,1.5560000000000005,0.5
2.76,1.6040000000000003,0.5
2.88,1.6520000000000004,0.5
3.0,1.7000000000000004,0.5
3.12,1.7480000000000007,0.5
3.24,1.7960000000000007,0.5
3.36,1.8440000000000005,0.5
3.48,1.8920000000000003,0.5
3.6,1.9400000000000004,0.5
3.72,1.9880000000000007,0.5
3.84,2.0360000000000005,0.5
3.96,2.0840000000000005,0.5
4.08,2.1320000000000006,0.5
4.2,2.1800000000000006,0.5
4.32,2.2280000000000015,0.5
4.44,2.2760000000000016,0.5
4.56,2.3240000000000016,0.5
4.68,2.3720000000000017,0.5
4.8,2.420000000000002,0.5
4.92,2.468000000000002,0.5
5.04,2.5160000000000027,0.5
5.16,2.5640000000000027,0.5
5.28,2.6120000000000028,0.5
5.4,2.6600000000000033,0.5
5.52,2.7080000000000033,0.5
5.64,2.7560000000000033,0.5
5.76,2.804000000000004,0.5
5.88,2.852000000000004,0.5
6.0,2.900000000000002,0.5
