time,P1,P2,P3,P4
0.0,0.2913126124515909,-0.3799489622552249,0.0,-0.0
0.1,0.2913126124515909,-0.3799489622552249,0.09966799462495582,-0.09966799462495582
0.2,0.2913126124515909,-0.3799489622552249,0.197375320224904,-0.197375320224904
0.3,0.2913126124515909,-0.3799489622552249,0.2913126124515909,-0.2913126124515909
0.4,0.2913126124515909,-0.3799489622552249,0.3799489622552249,-0.3799489622552249
0.5,0.2913126124515909,-0.3799489622552249,0.46211715726000974,-0.46211715726000974
0.6,0.2913126124515909,-0.3799489622552249,0.5370495669980353,-0.5370495669980353
0.7,0.2913126124515909,-0.3799489622552249,0.6043677771171636,-0.6043677771171636
0.8,0.2913126124515909,-0.3799489622552249,0.6640367702678491,-0.6640367702678491
0.9,0.2913126124515909,-0.3799489622552249,0.7162978701990245,-0.7162978701990245
1.0,0.2913126124515909,-0.3799489622552249,0.7615941559557649,-0.7615941559557649
