time,P1,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
0.0,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.1,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.2,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.3,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.4,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.5,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.6,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.7,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.8,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
0.9,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
1.0,3.141592653589793,2.0,2.0,3.0,3.0,2.0,3.0,24.0,3.0,2.0,2.0,2.0,1.139493927324549,-1.022986383671302,4.933154875586893,0.3045202934471426,2.8283154578899667,1.120999466370539,1.141096660643472,-1.4711276743037347,5.288292537319899,0.802881971289134,-0.8673005276940532,1.5133066884268214,5.298342365610589,0.12256122901649251,2.718281828459045,15.154262241479262
