time,S1
0.0,0.0
0.04,0.27999999999999625
0.08,0.56
0.12,0.8399999999999941
0.16,1.1199999999999035
0.2,1.4000000000000001
0.24,1.6799999999999997
0.28,1.9599999999999937
0.32,2.239999999999982
0.36,2.5199999999999068
0.4,2.7999999999998124
0.44,3.080000000000727
0.48,3.3599999999981227
0.52,3.64
0.56,3.920000000000001
0.6,4.199999999999999
0.64,4.479999999999999
0.68,4.759999999999998
0.72,5.039999999999996
0.76,5.319999999999992
0.8,5.5999999999999694
0.84,5.8799999999998995
0.88,6.1599999999999975
0.92,6.43999999999967
0.96,6.719999999999809
1.0,6.999999999999563
1.04,7.279999999999866
1.08,7.559999999999236
1.12,7.8399999999998
1.16,8.119999999998912
1.2,8.399999999997117
1.24,8.679999999996454
1.28,8.959999999997223
1.32,9.23999999998424
1.36,9.520000000000001
1.4,9.799999999999999
1.44,10.08
1.48,10.359999999999996
1.52,10.639999999999997
1.56,10.919999999999986
1.6,11.2
1.64,11.48
1.68,11.759999999999977
1.72,12.039999999999853
1.76,12.319999999999837
1.8,12.599999999999017
1.84,12.880000000000127
1.88,13.159999999998357
1.92,13.439999999998715
1.96,13.720000000000926
2.0,14.0
