time,A_,B_,C_
0.0,1.0,0.0,0.0
0.2,0.9149370626824946,0.08133790507432939,0.003725032243175961
0.4,0.7490871112965644,0.21641125644488973,0.03450163225854586
0.6,0.6133006544778375,0.29984268524702784,0.08685666027513464
0.8,0.5021281067269366,0.3459160489381428,0.15195584433492046
1.0,0.9900498337485009,0.009900498343647226,4.9667907851905465e-5
1.2,0.8105842471634059,0.17022267942202216,0.019193073414571906
1.4,0.6636502537448546,0.2720965678478316,0.06425317840731382
1.6,0.5433508701546472,0.33144402186591304,0.1252051079794398
1.8,0.44485806712122755,0.3603350278792943,0.19480690499947814
2.0,0.36421897785568663,0.36786118899298254,0.2679198331513307
