time,S1_,S2_,S3_
0.0,1.0,0.5,0.375
0.1,0.6065306597129242,0.8934693402870758,0.6701020052153068
0.2,0.3678794412537991,1.1321205587462009,0.8490904190596507
0.3,0.22313016013926648,1.2768698398607337,0.9576523798955503
0.4,0.13533528322024305,1.364664716779757,1.0234985375848178
0.5,0.0820849986297075,1.0179150013702924,0.7634362510277193
0.6,0.04978706836377333,1.0502129316362268,0.78765969872717
0.7,0.03019738342276246,1.0698026165772376,0.8023519624329283
0.8,0.018315638887749838,1.0816843611122502,0.8112632708341876
0.9,0.01110899653568827,1.0888910034643118,0.8166682525982338
1.0,0.0067379469982546125,1.0932620530017454,0.819946539751309
1.1,0.004086771437711996,1.095913228562288,0.821934921421716
1.2,0.00247875217572989,1.09752124782427,0.8231409358682025
1.3,0.0015034391925823495,1.0984965608074175,0.8238724206055632
1.4,0.0009118819652651818,1.0990881180347347,0.824316088526051
1.5,0.0005530843698584515,1.0994469156301416,0.8245851867226062
1.6,0.00033546262776715827,1.0996645373722327,0.8247484030291745
1.7,0.00020346836891859738,1.0997965316310814,0.824847398723311
1.8,0.00012340980400415072,1.0998765901959957,0.8249074426469968
1.9,7.485182984693271e-5,1.099925148170153,0.8249438611276148
2.0,4.5399929735760294e-5,1.0999546000702642,0.8249659500526982
2.1,2.753644932734605e-5,1.0999724635506725,0.8249793476630043
2.2,1.6701700778785907e-5,1.0999832982992213,0.8249874737244159
2.3,1.0130093591278954e-5,1.0999898699064088,0.8249924024298065
2.4,6.144212347438533e-6,1.0999938557876525,0.8249953918407393
2.5,3.7266531689942356e-6,1.099996273346831,0.8249972050101232
2.6,2.2603294050287064e-6,1.0999977396705949,0.8249983047529461
2.7,1.3709590848708273e-6,1.099998629040915,0.8249989717806863
2.8,8.315287182973998e-7,1.0999991684712815,0.8249993763534611
2.9,5.043476620614263e-7,1.0999994956523378,0.8249996217392533
3.0,3.0590232011827963e-7,1.0999996940976797,0.8249997705732598
3.1,1.855391360553595e-7,1.0999998144608638,0.8249998608456479
3.2,1.1253517458878614e-7,1.0999998874648254,0.824999915598619
3.3,6.825603366751424e-8,1.0999999317439662,0.8249999488079747
3.4,4.139937713649506e-8,1.0999999586006226,0.824999968950467
3.5,2.5109991521102185e-8,1.0999999748900082,0.8249999811675062
3.6,1.5229979723831874e-8,1.0999999847700201,0.8249999885775151
3.7,9.237449651865711e-9,1.0999999907625502,0.8249999930719126
3.8,5.6027964252891946e-9,1.0999999943972034,0.8249999957979026
3.9,3.398267814059634e-9,1.099999996601732,0.8249999974512989
4.0,2.061153617307277e-9,1.099999997938846,0.8249999984541345
4.1,1.2501528643610782e-9,1.0999999987498468,0.8249999990623851
4.2,7.582560412560277e-10,1.0999999992417435,0.8249999994313076
4.3,4.599055368382472e-10,1.0999999995400942,0.8249999996550706
4.4,2.789468084254181e-10,1.0999999997210528,0.8249999997907895
4.5,1.6918979156402223e-10,1.0999999998308099,0.8249999998731075
4.6,1.0261879488968749e-10,1.0999999998973808,0.8249999999230356
4.7,6.224144546741222e-11,1.099999999937758,0.8249999999533186
4.8,3.775134382085472e-11,1.0999999999622483,0.8249999999716862
4.9,2.2897347603750557e-11,1.0999999999771022,0.8249999999828266
5.0,1.3887943133854242e-11,1.0999999999861116,0.8249999999895837
