time,S1_,S2_,C,k
0.0,3.0,3.0,1.0,4.5
1.0,0.054946916659979916,5.945053083340022,1.0,3.5
2.0,0.0027356458956150653,5.997264354104385,1.0,2.5000000000000115
3.0,0.00037022941204935657,5.999629770587951,1.0,1.5000000000002247
4.0,0.00013619978921156046,5.99986380021079,1.0,0.5000000000001462
5.0,0.7051246569393446,5.294875343060656,1.0,-0.5000000000000016
6.0,4.05212421807156,1.94787578192844,1.0,-1.5000000000000009
7.0,5.7363836799032155,0.263616320096784,1.0,-2.500000000000001
8.0,5.98687531624923,0.01312468375076998,1.0,-3.4999999999998668
9.0,5.999759613030685,0.00024038696931505323,1.0,-4.499999999999989
10.0,5.999998380285331,1.6197146682782522e-6,1.0,-5.5
