time,S1,S2
0.0,0.15,0.0
0.12,0.14767815745859866,0.0023218425414013133
0.24,0.14434918990824214,0.005650810091757856
0.36,0.14008302661779887,0.009916973382201126
0.48,0.1349676734848121,0.015032326515187912
0.6,0.12910619646377383,0.020893803536226167
0.72,0.12261327469347554,0.02738672530652446
0.84,0.11561148402680939,0.034388515973190606
0.96,0.10822747846413623,0.04177252153586376
1.08,0.10058823415314838,0.049411765846851606
1.2,0.09281750877099117,0.05718249122900883
1.32,0.08503264946491637,0.06496735053508362
1.44,0.07734185679359022,0.07265814320640977
1.56,0.06984198226531628,0.08015801773468371
1.68,0.06261690528155957,0.08738309471844043
1.8,0.05573650363981227,0.09426349636018773
1.92,0.04925620224999307,0.10074379775000693
2.04,0.04321705865334634,0.10678294134665366
2.16,0.03764632325740455,0.11235367674259544
2.28,0.0325583965323126,0.1174416034676874
2.4,0.027956096379114878,0.12204390362088512
2.52,0.02383214483974104,0.12616785516025897
2.64,0.02017078545895426,0.12982921454104573
2.76,0.0169494484291366,0.13305055157086337
2.88,0.014140390714826444,0.13585960928517354
3.0,0.011712249871643293,0.1382877501283567
3.12,0.00963146451193773,0.14036853548806225
3.24,0.00786352745142032,0.14213647254857967
3.36,0.006374051470105137,0.14362594852989483
3.48,0.005129639028246684,0.1448703609717533
3.6,0.0040985583535130005,0.14590144164648697
3.72,0.0032512361911396686,0.14674876380886032
3.84,0.002560583829457112,0.14743941617054288
3.96,0.0020021774060347917,0.14799782259396518
4.08,0.0015543155537837898,0.1484456844462162
4.2,0.0011979781858648614,0.14880202181413513
4.32,0.0009167094473333539,0.14908329055266661
4.44,0.0006964462159629494,0.14930355378403704
4.56,0.0005253110538146228,0.14947468894618535
4.68,0.0003933857060838221,0.14960661429391617
4.8,0.00029247832778559867,0.14970752167221438
4.92,0.00021589465327652338,0.14978410534672346
5.04,0.0001582206489380812,0.14984177935106188
5.16,0.00011512178542299747,0.14988487821457697
5.28,8.31620050411939e-5,0.14991683799495878
5.4,5.96438220227011e-5,0.14994035617797727
5.52,4.246968699311274e-5,0.14995753031300685
5.64,3.0023805188458843e-5,0.1499699761948115
5.76,2.1072957302754433e-5,0.14997892704269722
5.88,1.4684471506586864e-5,0.14998531552849337
6.0,1.0159310496938352e-5,0.14998984068950302
