time,C1,S1_,x
0.0,0.5,0.0,0.0
0.1,0.5199999999999962,0.020399999999995838,0.03923076923076151
0.2,0.54,0.04159999999999995,0.07703703703703693
0.3,0.5599999999999994,0.06359999999999759,0.1135714285714244
0.4,0.5800000000000023,0.0864000000000024,0.14896551724138288
0.5,0.21000000000000002,0.10219999999999997,0.48666666666666647
0.6,0.22999999999999982,0.11099999999999985,0.4826086956521736
0.7,0.24999999999999825,0.12059999999999897,0.4823999999999993
0.8,0.2699999999999894,0.13099999999999293,0.485185185185178
0.9,0.2899999999999251,0.14219999999995667,0.49034482758618414
1.0,0.31000000000000005,0.15419999999999998,0.4974193548387095
