time,S1_,S2_
0.0,1.5,0.0
0.16,1.2988316220888352,0.20116837791116463
0.32,1.1246423883585586,0.3753576116414413
0.48,0.9738140650279115,0.5261859349720883
0.64,0.8432136677952543,0.6567863322047455
0.8,0.7301283839401888,0.769871616059811
0.96,0.6322092221644137,0.8677907778355861
1.12,0.5474222196828207,0.9525777803171791
1.28,0.4740061930403697,1.02599380695963
1.44,0.410436155058553,1.0895638449414469
1.6,0.3553916380244576,1.144608361975542
1.76,0.307729265129831,1.1922707348701687
1.92,0.2664590003958441,1.2335409996041555
2.08,0.2307235838034488,1.2692764161965508
2.24,0.19978072440233474,1.3002192755976647
2.4,0.1729876815612425,1.327012318438757
2.56,0.14978791403013986,1.3502120859698596
2.72,0.12969951956657508,1.3703004804334245
2.88,0.11230522491923807,1.3876947750807616
3.04,0.09724371830134684,1.4027562816986527
3.2,0.084202144255465,1.4157978557445348
3.36,0.07290960507047467,1.427090394929525
3.52,0.06313153374576944,1.4368684662542301
3.68,0.05466482158558653,1.445335178414413
3.84,0.04733359926357577,1.4526664007364238
4.0,0.040985583673776305,1.4590144163262233
4.16,0.03548891475050397,1.4645110852494956
4.32,0.03072941647238666,1.469270583527613
4.48,0.026608225228584373,1.4733917747714154
4.64,0.023039736224907816,1.4769602637750918
4.8,0.019949825315043378,1.4800501746849561
4.96,0.017274309316489364,1.4827256906835102
5.12,0.014957612792101935,1.4850423872078977
5.28,0.01295161365733299,1.4870483863426667
5.44,0.0112146435845121,1.4887853564154876
5.6,0.009710622478212654,1.490289377521787
5.76,0.008408309029971816,1.4915916909700278
5.92,0.007280651770177021,1.4927193482298224
6.08,0.006304227166019621,1.49369577283398
6.24,0.005458753064538149,1.4945412469354613
6.4,0.00472666739800824,1.4952733326019914
6.56,0.004092763389083681,1.4959072366109158
6.72,0.0035438736738899615,1.4964561263261096
6.88,0.0030685967950995286,1.4969314032049
7.04,0.002657060368895848,1.4973429396311038
7.2,0.002300716019122957,1.4976992839808765
7.36,0.001992161812733351,1.4980078381872661
7.52,0.001724988505534922,1.4982750114944645
7.68,0.001493646412486302,1.4985063535875132
7.84,0.001293330128505135,1.4987066698714944
8.0,0.0011198787124684392,1.4988801212875311
