time,S1_,S2_,S3_,S4_,S5_
0.0,1.0e-5,1.5e-5,1.0e-5,2.25e-5,1.0e-5
0.08,1.3296799500520042e-5,1.8296799500520044e-5,6.7032004994799575e-6,2.7445199250780066e-5,1.0e-5
0.16,1.5506710284629043e-5,2.0506710284629042e-5,4.493289715370959e-6,3.0760065426943564e-5,1.0e-5
0.24,1.6988057777215382e-5,2.1988057777215382e-5,3.0119422227846184e-6,3.2982086665823075e-5,1.0e-5
0.32,1.798103469271111e-5,2.298103469271111e-5,2.018965307288894e-6,3.447155203906666e-5,1.0e-5
0.4,1.8646647021753924e-5,2.3646647021753924e-5,1.3533529782460778e-6,3.546997053263089e-5,1.0e-5
0.48,1.9092820306978454e-5,2.4092820306978454e-5,9.07179693021548e-7,3.613923046046768e-5,1.0e-5
0.56,1.9391899202922664e-5,2.4391899202922663e-5,6.081007970773373e-7,3.658784880438399e-5,1.0e-5
0.64,1.9592377781395442e-5,2.459237778139544e-5,4.0762221860455674e-7,3.6888566672093164e-5,1.0e-5
0.72,1.9726762590794725e-5,2.4726762590794725e-5,2.73237409205275e-7,3.709014388619209e-5,1.0e-5
0.8,1.9816843422102546e-5,2.4816843422102546e-5,1.8315657789745513e-7,3.722526513315382e-5,1.0e-5
0.88,1.9877226408818048e-5,2.4877226408818047e-5,1.227735911819541e-7,3.731583961322707e-5,1.0e-5
0.96,1.9917702335107463e-5,2.4917702335107463e-5,8.229766489253762e-8,3.7376553502661195e-5,1.0e-5
1.04,1.9944834159757755e-5,2.4944834159757754e-5,5.5165840242246884e-8,3.741725123963663e-5,1.0e-5
1.12,1.9963021165645383e-5,2.4963021165645382e-5,3.697883435461617e-8,3.7444531748468075e-5,1.0e-5
1.2,1.997521228021307e-5,2.497521228021307e-5,2.4787719786933015e-8,3.74628184203196e-5,1.0e-5
1.28,1.998338422866231e-5,2.498338422866231e-5,1.661577133769114e-8,3.747507634299347e-5,1.0e-5
1.36,1.9988862049499644e-5,2.4988862049499643e-5,1.1137950500356923e-8,3.7483293074249466e-5,1.0e-5
1.44,1.9992533942602793e-5,2.4992533942602792e-5,7.466057397207075e-9,3.7488800913904185e-5,1.0e-5
1.52,1.999499528614524e-5,2.499499528614524e-5,5.004713854759577e-9,3.7492492929217856e-5,1.0e-5
1.6,1.9996645174057807e-5,2.4996645174057807e-5,3.3548259421966594e-9,3.749496776108671e-5,1.0e-5
1.68,1.9997751126992197e-5,2.4997751126992196e-5,2.2488730078060873e-9,3.7496626690488296e-5,1.0e-5
1.76,1.9998492469414526e-5,2.4998492469414525e-5,1.5075305854777536e-9,3.749773870412179e-5,1.0e-5
1.84,1.9998989406094584e-5,2.4998989406094584e-5,1.0105939054193827e-9,3.749848410914188e-5,1.0e-5
1.92,1.9999322512716148e-5,2.4999322512716148e-5,6.77487283855033e-10,3.749898376907422e-5,1.0e-5
2.0,1.999954580075591e-5,2.499954580075591e-5,4.541992440944794e-10,3.7499318701133864e-5,1.0e-5
2.08,1.9999695475207937e-5,2.4999695475207937e-5,3.045247920658323e-10,3.7499543212811905e-5,1.0e-5
2.16,1.999979580499402e-5,2.4999795804994018e-5,2.0419500598659146e-10,3.749969370749103e-5,1.0e-5
2.24,1.999986305805721e-5,2.499986305805721e-5,1.3694194279474427e-10,3.749979458708581e-5,1.0e-5
2.32,1.9999908139135963e-5,2.4999908139135962e-5,9.18608640398176e-11,3.7499862208703944e-5,1.0e-5
2.4,1.9999938357886276e-5,2.4999938357886275e-5,6.16421137276568e-11,3.749990753682941e-5,1.0e-5
2.48,1.99999586141191e-5,2.49999586141191e-5,4.138588090433976e-11,3.749993792117865e-5,1.0e-5
2.56,1.999997219227916e-5,2.499997219227916e-5,2.7807720843031927e-11,3.749995828841874e-5,1.0e-5
2.64,1.9999981293992e-5,2.4999981293992e-5,1.8706008001120227e-11,3.7499971940988e-5,1.0e-5
2.72,1.99999873950512e-5,2.49999873950512e-5,1.260494880194589e-11,3.7499981092576796e-5,1.0e-5
2.8,1.999999148471455e-5,2.499999148471455e-5,8.515285451156827e-12,3.749998722707182e-5,1.0e-5
2.88,1.999999422609821e-5,2.4999994226098208e-5,5.773901794513964e-12,3.7499991339147315e-5,1.0e-5
2.96,1.999999606370186e-5,2.499999606370186e-5,3.9362981435968775e-12,3.7499994095552784e-5,1.0e-5
3.04,1.9999997295484323e-5,2.4999997295484323e-5,2.704515676758443e-12,3.7499995943226484e-5,1.0e-5
3.12,1.999999812117286e-5,2.499999812117286e-5,1.8788271423576476e-12,3.7499997181759286e-5,1.0e-5
3.2,1.9999998674648518e-5,2.4999998674648518e-5,1.3253514828158948e-12,3.7499998011972775e-5,1.0e-5
3.28,1.9999999045674455e-5,2.4999999045674454e-5,9.54325547638282e-13,3.749999856851168e-5,1.0e-5
3.36,1.9999999294364494e-5,2.4999999294364493e-5,7.056355063014113e-13,3.749999894154674e-5,1.0e-5
3.44,1.9999999461017267e-5,2.4999999461017267e-5,5.389827338010899e-13,3.74999991915259e-5,1.0e-5
3.52,1.9999999572756265e-5,2.4999999572756264e-5,4.27243735690101e-13,3.7499999359134394e-5,1.0e-5
3.6,1.9999999647636894e-5,2.4999999647636894e-5,3.523631070693764e-13,3.749999947145534e-5,1.0e-5
3.68,1.9999999697865403e-5,2.4999999697865402e-5,3.021345997677564e-13,3.74999995467981e-5,1.0e-5
3.76,1.9999999731537148e-5,2.4999999731537147e-5,2.684628551927123e-13,3.749999959730572e-5,1.0e-5
3.84,1.999999975410795e-5,2.499999975410795e-5,2.4589205237848863e-13,3.7499999631161926e-5,1.0e-5
3.92,1.999999976923762e-5,2.4999999769237618e-5,2.307623820018001e-13,3.7499999653856425e-5,1.0e-5
4.0,1.9999999779379354e-5,2.4999999779379354e-5,2.2062064907089467e-13,3.749999966906903e-5,1.0e-5
