time,c
0.0,0.6666666666666666
0.08,0.693873849461586
0.16,0.7221913784499724
0.24,0.7516645677195825
0.32,0.7823405806611983
0.4,0.8142685054401031
0.48,0.8474994335476022
0.56,0.8820865415583002
0.64,0.9180851762239496
0.72,0.9555529430400124
0.8,0.9945497984272179
0.88,1.035138145674038
0.96,1.0773829347951593
1.04,1.121351766465755
1.12,1.167115000197325
1.2,1.2147458669263735
1.28,1.2643205862035887
1.36,1.3159184881536063
1.44,1.3696221404280484
1.52,1.4255174803293091
1.6,1.483693952326964
1.68,1.5442446511868342
1.76,1.6072664709443154
1.84,1.6728602599568796
1.92,1.7411309822818601
2.0,1.812187885639998
2.08,1.8861446762361338
2.16,1.963119700711723
2.24,2.043236135526853
2.32,2.126622184072621
2.4,2.2134112818198806
2.48,2.3037423098399703
2.56,2.397759817046001
2.64,2.495614251506657
2.72,2.5974622011967456
2.8,2.70346664456617
2.88,2.8137972113353777
2.96,2.928630453953202
3.04,3.0481501301005216
3.12,3.172547496753558
3.2,3.3020216162471745
3.28,3.4367796748056483
3.36,3.5770373140720153
3.44,3.7230189761828894
3.52,3.8749582629351105
3.6,4.033098309607632
3.68,4.197692174022571
3.76,4.369003241477143
3.84,4.5473056462168016
3.92,4.732884710128323
4.0,4.926037399311983
