time,S1_,S2_,default_compartment
0.0,5.0,0.0,1.0
1.0,1.8393972095721516,3.1606027904278484,1.0
2.0,0.6766764196371997,4.3233235803628,1.0
3.0,0.2489353431262747,4.751064656873725,1.0
4.0,0.09157819089014609,4.9084218091098535,1.0
5.0,0.033689732866732915,4.966310267133267,1.0
6.0,0.012393760062816818,4.9876062399371826,1.0
7.0,0.004559400813333155,4.995440599186666,1.0
8.0,0.0016773574610947392,4.998322642538905,1.0
9.0,0.0006171112805894008,4.99938288871941,1.0
10.0,0.0002270225375292158,4.99977297746247,1.0
