time,C1,S1_,x
0.0,0.5,0.0,0.0
0.1,0.5199999999999962,0.020399999999995838,0.03923076923076151
0.2,0.54,0.04159999999999995,0.07703703703703693
0.3,0.5599999999999994,0.06359999999999759,0.1135714285714244
0.4,0.5800000000000001,0.08640000000000003,0.14896551724137935
0.5,0.6,0.10999999999999989,0.18333333333333315
0.6,0.6199999999999993,0.13439999999999874,0.2167741935483853
0.7,0.6399999999999906,0.15959999999998714,0.24937499999998358
0.8,0.6600000000000039,0.18560000000000226,0.28121212121212297
0.9,0.6799999999999211,0.212399999999892,0.312352941176348
1.0,0.7000000000000002,0.24000000000000007,0.34285714285714286
