time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
0.0,1.0,1.0,1000.0001666666861,-1000.0001666666861,999.9996666666443,-999.9996666666443,0.0,-0.0,1.0,1.0,0.0,3.141592653589793,1.5707963267948966,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,0.0,-0.0,0.0,0.0,-0.0,0.0,0.881373587019543,-0.881373587019543,3.800701167291939,-3.800701167291939
0.1,1.0050209184004553,1.0050209184004553,9.917843487544813,-9.917843487544813,9.867300514499142,-9.867300514499142,0.10016675001984403,-0.10016675001984403,1.0050041680558035,1.0050041680558035,0.4296996661514246,2.7118929874383686,1.141096660643472,-1.141096660643472,1.4711276743037347,-1.4711276743037347,0.09983407889920758,-0.09983407889920758,0.4435682543851153,0.10033534773107558,-0.10033534773107558,2.993222846126381,0.8156089004401478,-0.8156089004401478,1.5175240920018704,-1.5175240920018704
0.2,1.0203388449411928,1.0203388449411928,5.008782954130869,-5.008782954130869,4.9079432231426585,-4.9079432231426585,0.20133600254109402,-0.20133600254109402,1.020066755619076,1.020066755619076,0.5856855434571508,2.555907110132642,0.9851107833377457,-0.9851107833377457,1.373400766945016,-1.373400766945016,0.19869011034924142,-0.19869011034924142,0.6223625037147786,0.2027325540540822,-0.2027325540540822,2.2924316695611777,0.7584861371937422,-0.7584861371937422,1.1966810867336932,-1.1966810867336932
0.3,1.0467516015380856,1.0467516015380856,3.3729611835759097,-3.3729611835759097,3.2213145058981434,-3.2213145058981434,0.3045202934471426,-0.3045202934471426,1.0453385141288605,1.0453385141288605,0.6931599075767539,2.4484327460130393,0.8776364192181427,-0.8776364192181427,1.2793395323170296,-1.2793395323170296,0.29567304756342244,-0.29567304756342244,0.7564329108569596,0.30951960420311175,-0.30951960420311175,1.8738202425274144,0.7084608435503106,-0.7084608435503106,1.0169944126432453,-1.0169944126432453
0.4,1.0857044283832387,1.0857044283832387,2.5618743348805615,-2.5618743348805615,2.358643700883989,-2.358643700883989,0.4107523258028155,-0.4107523258028155,1.081072371838455,1.081072371838455,0.7751933733103613,2.366399280279432,0.7956029534845354,-0.7956029534845354,1.1902899496825317,-1.1902899496825317,0.3900353197707153,-0.3900353197707153,0.867014726490565,0.42364893019360184,-0.42364893019360184,1.566799236972411,0.6643306045898851,-0.6643306045898851,0.8948395844573421,-0.8948395844573421
0.5,1.139493927324549,1.139493927324549,2.0820195733130586,-2.0820195733130586,1.8261449842930573,-1.8261449842930573,0.5210953054937474,-0.5210953054937474,1.1276259652063807,1.1276259652063807,0.8410686705679303,2.300523983021863,0.7297276562269663,-0.7297276562269663,1.1071487177940904,-1.1071487177940904,0.48121182505960347,-0.48121182505960347,0.9624236501192069,0.5493061443340549,-0.5493061443340549,1.3169578969248166,0.6251451172504167,-0.6251451172504167,0.8039199148963773,-0.8039199148963773
0.6,1.2116283145123166,1.2116283145123166,1.7684481478522145,-1.7684481478522145,1.4585639689920795,-1.4585639689920795,0.6366535821482412,-0.6366535821482412,1.1854652182422676,1.1854652182422676,0.895664793857865,2.2459278597319283,0.6751315329370317,-0.6751315329370317,1.0303768265243125,-1.0303768265243125,0.5688248987322475,-0.5688248987322475,1.0469679150031885,0.6931471805599453,-0.6931471805599453,1.0986122886681098,0.590143685781959,-0.590143685781959,0.732528165456722,-0.732528165456722
0.7,1.3074592597335937,1.3074592597335937,1.5504303666898782,-1.5504303666898782,1.1848351454755681,-1.1848351454755681,0.7585837018395334,-0.7585837018395334,1.255169005630943,1.255169005630943,0.9419214012998448,2.1996712522899484,0.6288749254950519,-0.6288749254950519,0.960070362405688,-0.960070362405688,0.6526665660823557,-0.6526665660823557,1.123230982587296,0.8673005276940532,-0.8673005276940532,0.8955880995299758,0.5587106026919879,-0.5587106026919879,0.6744347333790127,-0.6744347333790127
0.8,1.43532419967224,1.43532419967224,1.3926559481514529,-1.3926559481514529,0.9692732276925953,-0.9692732276925953,0.888105982187623,-0.888105982187623,1.3374349463048447,1.3374349463048447,0.9817653565786227,2.1598272970111703,0.5890309702162739,-0.5890309702162739,0.8960553845713439,-0.8960553845713439,0.7326682560454109,-0.7326682560454109,1.1929107309930491,1.0986122886681098,-1.0986122886681098,0.6931471805599453,0.5303425985671849,-0.5303425985671849,0.6259354140958747,-0.6259354140958747
0.9,1.6087258104660498,1.6087258104660498,1.2755946018643605,-1.2755946018643605,0.7919227161191277,-0.7919227161191277,1.0265167257081753,-1.0265167257081753,1.4330863854487745,1.4330863854487745,1.0165344923425685,2.1250581612472246,0.554261834452328,-0.554261834452328,0.83798122500839,-0.83798122500839,0.8088669356527824,-0.8088669356527824,1.2571958266003804,1.4722194895832204,-1.4722194895832204,0.46714530810326216,0.5046246655104837,-0.5046246655104837,0.5846527632565331,-0.5846527632565331
1.0,1.8508157176809255,1.8508157176809255,1.1876331292589954,-1.1876331292589954,0.640681238771289,-0.640681238771289,1.1752011936438014,-1.1752011936438014,1.5430806348152437,1.5430806348152437,1.0471975511965979,2.0943951023931957,0.5235987755982989,-0.5235987755982989,0.7853981633974483,-0.7853981633974483,0.881373587019543,-0.881373587019543,1.3169578969248166,10.0,-10.0,0.0,0.48121182505960347,-0.48121182505960347,0.5489730330625733,-0.5489730330625733
