time,S1_
0.0,0.0
0.1,0.6999999999999877
0.2,1.4000000000000001
0.3,2.099999999999999
0.4,2.7999999999999914
0.5,3.4999999999999387
0.6,4.199999999999998
0.7,4.899999999999662
0.8,5.599999999997776
0.9,6.299999999995331
1.0,7.000000000000001
1.1,7.700000000000001
1.2,8.4
1.3,9.1
1.4,9.799999999999999
1.5,10.499999999999995
1.6,11.200000000000001
1.7,11.899999999999988
1.8,12.599999999999998
1.9,13.299999999999958
2.0,13.999999999999957
2.1,14.700000000000012
2.2,15.399999999999936
2.3,16.099999999999905
2.4,16.799999999999685
2.5,17.49999999999978
2.6,18.199999999999587
2.7,18.8999999999995
2.8,19.599999999999536
2.9,20.29999999999866
3.0,20.999999999998764
3.1,21.69999999999807
3.2,22.399999999999128
3.3,23.099999999998666
3.4,23.79999999999615
3.5,24.499999999994177
3.6,25.19999999999359
3.7,25.8999999999913
3.8,26.599999999990885
3.9,27.299999999992174
4.0,27.999999999988376
4.1,28.69999999998174
4.2,29.39999999997962
4.3,30.099999999995706
4.4,30.79999999998426
4.5,31.5000000000057
4.6,32.199999999999996
4.7,32.899999999999984
4.8,33.59999999999982
4.9,34.299999999998114
5.0,35.0
