time,X_
0.0,0.0
0.1,0.09999999999999981
0.2,0.19999999999999504
0.3,0.2999999999999741
0.4,0.39999999999985597
0.5,0.5
0.6,0.6
0.7,0.7
0.8,0.7999999999999999
0.9,0.8999999999999996
1.0,0.9999999999999991
1.1,1.0999999999999994
1.2,1.1999999999999977
1.3,1.2999999999999925
1.4,1.3999999999999924
1.5,1.4999999999999896
1.6,1.5999999999999905
1.7,1.6999999999999855
1.8,1.7999999999999452
1.9,1.899999999999987
2.0,1.9999999999999876
2.1,2.099999999999826
2.2,2.199999999999885
2.3,2.2999999999996192
2.4,2.399999999999604
2.5,2.4999999999993294
2.6,2.5999999999997048
2.7,2.6999999999994126
2.8,2.7999999999994434
2.9,2.900000000001298
3.0,2.9999999999976557
3.1,3.099999999997378
3.2,3.200000000001932
3.3,3.3
3.4,3.4
3.5,3.5
3.6,3.6
3.7,3.7
3.8,3.8
3.9,3.9
4.0,4.0
4.1,4.099999999999999
4.2,4.199999999999999
4.3,4.299999999999998
4.4,4.3999999999999995
4.5,4.4999999999999964
4.6,4.599999999999995
4.7,4.699999999999998
4.8,4.7999999999999945
4.9,4.899999999999994
5.0,4.999999999999991
5.1,5.099999999999987
5.2,5.199999999999987
5.3,5.299999999999987
5.4,5.399999999999979
5.5,5.499999999999961
5.6,5.59999999999998
5.7,5.699999999999938
5.8,5.799999999999953
5.9,5.899999999999933
6.0,5.999999999999962
6.1,6.099999999999907
6.2,6.199999999999903
6.3,6.299999999999836
6.4,6.399999999999916
6.5,6.4999999999999645
6.6,6.599999999999826
6.7,6.699999999999921
6.8,6.799999999999716
6.9,6.899999999999969
7.0,6.999999999999812
7.1,7.100000000000011
7.2,7.199999999999786
7.3,7.299999999999691
7.4,7.399999999999651
7.5,7.499999999999309
7.6,7.599999999999532
7.7,7.699999999999769
7.8,7.7999999999994625
7.9,7.89999999999913
8.0,8.000000000000593
8.1,8.099999999998543
8.2,8.19999999999829
8.3,8.299999999998597
8.4,8.399999999997396
8.5,8.500000000000032
8.6,8.599999999998474
8.7,8.699999999996521
8.8,8.799999999999544
8.9,8.899999999998258
9.0,8.99999999999622
9.1,9.099999999994623
9.2,9.19999999999936
9.3,9.299999999996023
9.4,9.399999999996345
9.5,9.50000000000172
9.6,9.599999999995456
9.7,9.69999999999286
9.8,9.799999999996684
9.9,9.899999999992776
10.0,10.0
