time,c
0.0,1.5
0.1,1.5379726807866458
0.2,1.576906644564036
0.3,1.6168262263269475
0.4,1.657756377113456
0.5,1.6997226796002294
0.6,1.7427513640924248
0.7,1.786869324918543
0.8,1.8321041372402465
0.9,1.8784840742877333
1.0,1.9260381250314993
1.1,1.9747960123013117
1.2,2.0247882113639353
1.3,2.0760459689710644
1.4,2.128601322889843
1.5,2.18248712192704
1.6,2.237737046461608
1.7,2.2943856294947307
1.8,2.35246827823533
1.9,2.412021296228854
2.0,2.4730819060503477
2.1,2.535688272568217
2.2,2.5998795267996977
2.3,2.6656957903688365
2.4,2.7331782005833243
2.5,2.8023689361463058
2.6,2.8733112435195385
2.7,2.9460494639539836
2.8,3.0206290612048767
2.9,3.0970966499487247
3.0,3.1755000249180436
3.1,3.2558881907748445
3.2,3.3383113927387726
3.3,3.4228211479959523
3.4,3.5094702778906854
3.5,3.5983129409527437
3.6,3.6894046667368947
3.7,3.7828023905364496
3.8,3.8785644889700137
3.9,3.97675081646794
4.0,4.0774227426821845
4.1,4.180643190843793
4.2,4.286476677091925
4.3,4.394989350799355
4.4,4.506249035919088
4.5,4.620325273375703
4.6,4.737289364533183
4.7,4.857214415756923
4.8,4.980175384107672
4.9,5.1062491241898105
5.0,5.235514436199711
