time,c
0.0,22.5
0.02,20.07006888269456
0.04,17.90256288694064
0.06,15.969140903010704
0.08,14.244522574258998
0.1,12.706157745201525
0.12,11.33393160803011
0.14,10.109901692670572
0.16,9.018063260842883
0.18,8.04414003707188
0.2,7.175397539863237
0.22,6.400476572698774
0.24,5.709244697606964
0.26,5.092663748829158
0.28,4.542671654931236
0.3,4.0520770234018055
0.32,3.6144651101142333
0.34,3.2241139437401154
0.36,2.8759195082682165
0.38,2.5653290058906704
0.4,2.2882813269329922
0.42,2.0411539490750674
0.44,1.820715571486372
0.46,1.624083863762026
0.48,1.4486877785330998
0.5,1.2922339335786668
0.52,1.1526766248664635
0.54,1.0281910782465098
0.56,0.9171495895469233
0.58,0.8181002416706401
0.6,0.7297479201584515
0.62,0.6509373788968073
0.64,0.5806381347801225
0.66,0.5179309938265058
0.68,0.4619960320967419
0.7,0.412101875003112
0.72,0.36759613414634384
0.74,0.327896877047997
0.76,0.29248501816114136
0.78,0.2608975316330784
0.8,0.23272139692879637
0.82,0.20758819852446314
0.84,0.18516930861561748
0.86,0.16517159017763214
0.88,0.1473335640992548
0.9,0.13142199023390935
0.92,0.11722881762176203
0.94,0.10456846420843524
0.96,0.09327539020539541
0.98,0.08320193362147262
1.0,0.07421637950916737
