time,X_
0.0,1.0
0.1,1.0999999999999999
0.2,1.1999999999999997
0.3,1.2999999999999994
0.4,1.3999999999999944
0.5,1.499999999999978
0.6,1.5999999999998908
0.7,1.699999999999911
0.8,1.799999999999942
0.9,1.8999999999999366
1.0,2.0
1.1,2.1
1.2,2.2
1.3,2.3
1.4,2.4
1.5,2.5
1.6,2.5999999999999996
1.7,2.699999999999999
1.8,2.799999999999999
1.9,2.8999999999999995
2.0,2.9999999999999982
2.1,3.0999999999999948
2.2,3.1999999999999944
2.3,3.2999999999999927
2.4,3.3999999999999932
2.5,3.4999999999999907
2.6,3.599999999999991
2.7,3.699999999999985
2.8,3.799999999999984
2.9,3.899999999999987
3.0,3.9999999999999676
3.1,4.0999999999999766
3.2,4.200000000000005
3.3,4.29999999999992
3.4,4.399999999999992
3.5,4.499999999999924
3.6,4.599999999999981
3.7,4.699999999999922
3.8,4.799999999999757
3.9,4.899999999999937
4.0,4.999999999999712
4.1,5.0999999999998975
4.2,5.199999999999668
4.3,5.2999999999993195
4.4,5.399999999999325
4.5,5.499999999999433
4.6,5.599999999999721
4.7,5.699999999999118
4.8,5.799999999999608
4.9,5.899999999999633
5.0,5.999999999999571
5.1,6.0999999999997
5.2,6.199999999998307
5.3,6.299999999999542
5.4,6.40000000000027
5.5,6.499999999996199
5.6,6.599999999996285
5.7,6.699999999998211
5.8,6.799999999999662
5.9,6.899999999998922
6.0,6.999999999990508
6.1,7.099999999992024
6.2,7.1999999999963835
6.3,7.299999999995772
6.4,7.399999999992453
6.5,7.5
6.6,7.6
6.7,7.7
6.8,7.8
6.9,7.8999999999999995
7.0,7.999999999999999
7.1,8.099999999999998
7.2,8.2
7.3,8.299999999999995
7.4,8.399999999999995
7.5,8.499999999999991
7.6,8.599999999999994
7.7,8.699999999999973
7.8,8.799999999999969
7.9,8.89999999999999
8.0,8.999999999999963
8.1,9.09999999999988
8.2,9.200000000000005
8.3,9.299999999999873
8.4,9.39999999999996
8.5,9.499999999999806
8.6,9.599999999999522
8.7,9.699999999999719
8.8,9.7999999999997
8.9,9.899999999999494
9.0,9.999999999999977
9.1,10.099999999999746
9.2,10.19999999999974
9.3,10.299999999999637
9.4,10.400000000000157
9.5,10.499999999998266
9.6,10.599999999998197
9.7,10.699999999999324
9.8,10.799999999998922
9.9,10.899999999997032
10.0,11.0
