time,S1,S2,S3
0.0,0.1,0.2,0.1
0.3,0.10279546569148222,0.20279546569148224,0.09720453430851779
0.6,0.10521667905180165,0.20521667905180166,0.09478332094819836
0.9,0.10731145325077646,0.20731145325077646,0.09268854674922355
1.2,0.10912208697997654,0.20912208697997656,0.09087791302002347
1.5,0.11068584275515328,0.21068584275515329,0.08931415724484673
1.8,0.11203542878279976,0.2120354287827998,0.08796457121720025
2.1,0.11319946779364354,0.21319946779364357,0.08680053220635647
2.4,0.11420294195160859,0.2142029419516086,0.08579705804839143
2.7,0.11506760725165005,0.21506760725165006,0.08493239274834996
3.0,0.1158123739841217,0.2158123739841217,0.08418762601587831
3.3,0.11645365210353577,0.21645365210353582,0.08354634789646424
3.6,0.11700566190001711,0.21700566190001716,0.0829943380999829
3.9,0.1174807114020351,0.21748071140203515,0.08251928859796491
4.2,0.11788944257597389,0.21788944257597395,0.08211055742402612
4.5,0.11824104873949784,0.2182410487394979,0.08175895126050217
4.8,0.11854346575475995,0.21854346575476,0.08145653424524006
5.1,0.11880353957739352,0.21880353957739357,0.08119646042260649
5.4,0.11902717265494205,0.21902717265494212,0.08097282734505797
5.7,0.1192194515284188,0.21921945152841885,0.08078054847158121
6.0,0.1193847578178159,0.21938475781781594,0.0806152421821841
6.3,0.11952686458407083,0.21952686458407086,0.08047313541592918
6.6,0.11964901986822131,0.21964901986822133,0.0803509801317787
6.9,0.11975401902118213,0.21975401902118216,0.08024598097881788
7.2,0.1198442672597714,0.21984426725977144,0.08015573274022861
7.5,0.11992183371921986,0.2199218337192199,0.08007816628078016
7.8,0.11998849812086705,0.2199884981208671,0.08001150187913296
8.1,0.12004579103653033,0.22004579103653035,0.07995420896346968
8.4,0.12009502860790558,0.22009502860790559,0.07990497139209443
8.7,0.120137342469681,0.220137342469681,0.07986265753031901
9.0,0.12017370552792069,0.2201737055279207,0.07982629447207933
9.3,0.1202049541596817,0.22020495415968175,0.07979504584031831
9.6,0.12023180732469539,0.22023180732469544,0.07976819267530462
9.9,0.12025488301421026,0.22025488301421034,0.07974511698578975
10.2,0.1202747124047408,0.2202747124047409,0.07972528759525921
10.5,0.1202917520345411,0.2202917520345412,0.07970824796545892
10.8,0.12030639427724682,0.22030639427724694,0.07969360572275319
11.1,0.12031897634950424,0.22031897634950437,0.07968102365049577
11.4,0.12032978805681609,0.2203297880568162,0.07967021194318392
11.7,0.12033907845363696,0.22033907845363707,0.07966092154636305
12.0,0.1203470615693814,0.22034706156938147,0.07965293843061862
12.3,0.12035392133096053,0.22035392133096057,0.07964607866903949
12.6,0.12035981579430213,0.2203598157943022,0.07964018420569788
12.9,0.12036488078164471,0.2203648807816448,0.0796351192183553
13.2,0.1203692330078946,0.22036923300789465,0.07963076699210542
13.5,0.12037297276770226,0.2203729727677023,0.07962702723229775
13.8,0.1203761862448951,0.22037618624489513,0.07962381375510491
14.1,0.1203789474972776,0.22037894749727763,0.07962105250272242
14.4,0.12038132016238523,0.22038132016238526,0.07961867983761478
14.7,0.12038335892338908,0.22038335892338912,0.07961664107661093
15.0,0.12038511076885157,0.2203851107688516,0.07961488923114844
