time,c
0.0,0.525
0.06,0.5658891792144249
0.12,0.6099629774323507
0.18,0.6574694260006909
0.24,0.7086758739773618
0.3,0.7638704926745221
0.36,0.8233638973824072
0.42,0.8874908953984806
0.48,0.9566123702043894
0.54,1.031117312383931
0.6,1.111425008721517
0.66,1.1979874017984902
0.72,1.291291633356897
0.78,1.391862785763762
0.84,1.5002668369828815
0.9,1.6171138456817833
0.96,1.7430613844385647
1.02,1.878818240306385
1.08,2.0251484036103844
1.14,2.182875367439743
1.2,2.3528867619270173
1.26,2.536139349506646
1.32,2.733664409277659
1.38,2.94657354060128
1.44,3.1760649188100563
1.5,3.4234300381520937
1.56,3.6900609798084276
1.62,3.977458245935589
1.68,4.287239204115096
1.74,4.621147189183347
1.8,4.981061314116894
1.86,5.369007044992149
1.92,5.787167599800029
1.98,6.237896234391016
2.04,6.7237294859079615
2.1,7.247401447765017
2.16,7.811859155674342
2.22,8.420279172794631
2.28,9.076085466189111
2.34,9.782968676138236
2.4,10.544906884738126
2.46,11.366188003603533
2.52,12.25143390521717
2.58,13.205626432125827
2.64,14.234135433631677
2.7,15.342748984990092
2.76,16.53770596193573
2.82,17.825731148717942
2.88,19.2140730831371
2.94,20.7105448504804
3.0,22.32356805085647
