time,S1_,S2_,C,k
0.0,3.0,3.0,1.0,5.5
1.0,0.020213840995339728,5.979786159004661,1.0,4.5
2.0,0.0003702294120708978,5.99962977058793,1.0,3.5
3.0,1.843263704433433e-5,5.999981567362957,1.0,2.5
4.0,2.4945861547636643e-6,5.999997505413846,1.0,1.5
5.0,9.177069605751949e-7,5.99999908229304,1.0,0.5
6.0,0.7050192992060648,5.294980700793932,1.0,-0.5
7.0,4.052085459593166,1.9479145404068312,1.0,-1.5
8.0,5.736378434643786,0.2636215653562104,1.0,-2.5
9.0,5.986875055100234,0.013124944899762918,1.0,-3.5
10.0,5.999759608247551,0.00024039175244648206,1.0,-4.5
