time,S1_,S2_,C_
0.0,1.5,0.0,1.0
0.12,1.3464413937695248,0.1535586062304751,0.9880717128619205
0.24,1.2086029517656733,0.2913970482343267,0.9762857097578972
0.36,1.0848753633001786,0.41512463669982136,0.9646402934831205
0.48,0.973814065274144,0.526185934725856,0.9531337870775077
0.6,0.874122378744318,0.625877621255682,0.941764533584249
0.72,0.7846363693101269,0.7153636306898731,0.9305308958111965
0.84,0.704311258105339,0.795688741894661,0.9194312560951136
0.96,0.6322092221412835,0.8677907778587165,0.9084640160687041
1.08,0.5674884447964552,0.9325115552035448,0.897627596430438
1.2,0.5093932886826232,0.9906067113173768,0.8869204367171581
1.32,0.4572454730618313,1.0427545269381686,0.8763409950793649
1.44,0.4104361548755358,1.089563845124464,0.8658877480591949
1.56,0.36841881941593635,1.1315811805840634,0.8555591903710168
1.68,0.3307028995179274,1.1692971004820725,0.845353834684662
1.8,0.2968480488139947,1.2031519511860052,0.8352702114112728
1.92,0.2664590003893917,1.2335409996106084,0.8253068684916747
2.04,0.23918095201570627,1.2608190479842938,0.8154623711872833
2.16,0.21469542320200355,1.2853045767979965,0.8057353018734783
2.28,0.19271653679008527,1.3072834632099148,0.7961242598354569
2.4,0.1729876817037887,1.3270123182962112,0.7866278610665544
2.52,0.15527851683927496,1.344721483160725,0.7772447380689392
2.64,0.13938228181795456,1.3606177181820456,0.7679735396566976
2.76,0.12511338269028058,1.3748866173097194,0.7588129307612405
2.88,0.11230522504188369,1.3876947749581163,0.7497615922390446
3.0,0.1008082692165586,1.3991917307834414,0.740818220681719
3.12,0.09048828433856469,1.4095117156614352,0.7319815282283063
3.24,0.08122478115859316,1.418775218841407,0.7232502423798345
3.36,0.07290960512687128,1.4270903948731288,0.7146231058160566
3.48,0.06544567363954944,1.4345543263604508,0.7060988762143877
3.6,0.058745842723294826,1.4412541572767055,0.6976763260710324
3.72,0.05273188956983836,1.447268110430162,0.6893542425242167
3.84,0.047333599279700544,1.4526664007202996,0.68113142717954
3.96,0.042487944978001554,1.4575120550219987,0.673006695937386
4.08,0.038138351947000146,1.461861648053,0.6649788788224054
4.2,0.03423403718852086,1.4657659628114794,0.6570468198150583
4.32,0.030729416497739418,1.4692705835022608,0.6492093766851422
4.44,0.027583572264684806,1.4724164277353153,0.6414654208273133
4.56,0.024759775688160443,1.4752402243118399,0.6338138370985488
4.68,0.022225057950267003,1.4777749420497333,0.6262535236575593
4.8,0.01994982534756115,1.480050174652439,0.6187833918061423
4.92,0.017907513764340025,1.4820924862356601,0.6114023658324039
5.04,0.01607427853489662,1.4839257214651036,0.6041093828558586
5.16,0.01442871601451728,1.4855712839854829,0.5969033926743579
5.28,0.012951613682184261,1.4870483863178159,0.5897833576128536
5.4,0.011625725858931011,1.488374274141069,0.5827482523739911
5.52,0.010435572352752543,1.4895644276472475,0.5757970638904601
5.64,0.009367257726376678,1.4906327422736234,0.5689287911791161
5.76,0.008408309043249459,1.4915916909567506,0.5621424451968223
5.88,0.007547530240321712,1.4924524697596784,0.5554370486980214
6.0,0.006774871428322936,1.4932251285716769,0.5488116360940279
