time,S1,S2,S3,S4
0.0,1.0e-5,1.5e-5,1.0e-5,1.5000000000000002e-5
0.2,1.0921716851678924e-5,1.5921716851678924e-5,9.078283148321079e-6,1.6382575277518385e-5
0.4,1.1753222485490718e-5,1.6753222485490718e-5,8.246777514509284e-6,1.7629833728236077e-5
0.6,1.2503346146354635e-5,1.7503346146354633e-5,7.496653853645366e-6,1.8755019219531954e-5
0.8,1.3180052934266294e-5,1.8180052934266293e-5,6.81994706573371e-6,1.977007940139944e-5
1.0,1.3790528380778936e-5,1.8790528380778937e-5,6.209471619221064e-6,2.0685792571168403e-5
1.2,1.4341254747723093e-5,1.9341254747723093e-5,5.6587452522769094e-6,2.1511882121584638e-5
1.4,1.483807985835798e-5,1.983807985835798e-5,5.161920141642023e-6,2.225711978753697e-5
1.6,1.52862791917511e-5,2.0286279191751104e-5,4.7137208082489e-6,2.292941878762665e-5
1.8,1.5690611899909303e-5,2.0690611899909302e-5,4.309388100090699e-6,2.3535917849863954e-5
2.0,1.6055371342197966e-5,2.1055371342197966e-5,3.944628657802036e-6,2.408305701329695e-5
2.2,1.6384430673927542e-5,2.1384430673927538e-5,3.6155693260724603e-6,2.4576646010891313e-5
2.4,1.6681283972953142e-5,2.1681283972953142e-5,3.31871602704686e-6,2.5021925959429713e-5
2.6,1.6949083341148723e-5,2.1949083341148723e-5,3.0509166588512782e-6,2.5423625011723085e-5
2.8,1.7190672374691558e-5,2.219067237469156e-5,2.8093276253084438e-6,2.5786008562037337e-5
3.0,1.7408616358358185e-5,2.2408616358358184e-5,2.5913836416418173e-6,2.6112924537537277e-5
3.2,1.760522950472694e-5,2.2605229504726944e-5,2.39477049527306e-6,2.6407844257090412e-5
3.4,1.778259952742464e-5,2.2782599527424643e-5,2.217400472575362e-6,2.667389929113696e-5
3.6,1.7942609809170576e-5,2.294260980917058e-5,2.0573901908294263e-6,2.6913914713755862e-5
3.8,1.808695940034757e-5,2.3086959400347574e-5,1.9130405996524302e-6,2.7130439100521358e-5
4.0,1.8217181060183087e-5,2.3217181060183087e-5,1.7828189398169153e-6,2.732577159027463e-5
4.2,1.8334657532050517e-5,2.333465753205052e-5,1.6653424679494822e-6,2.7501986298075777e-5
4.4,1.8440636226074496e-5,2.34406362260745e-5,1.5593637739255055e-6,2.7660954339111744e-5
4.6,1.8536242464577384e-5,2.353624246457739e-5,1.4637575354226164e-6,2.7804363696866074e-5
4.8,1.862249143114764e-5,2.3622491431147642e-5,1.3775085688523596e-6,2.793373714672146e-5
5.0,1.8700298950299934e-5,2.370029895029994e-5,1.299701049700066e-6,2.80504484254499e-5
5.2,1.877049121209751e-5,2.377049121209751e-5,1.2295087879024925e-6,2.815573681814626e-5
5.4,1.8833813544799497e-5,2.38338135447995e-5,1.1661864552005046e-6,2.8250720317199248e-5
5.6,1.8890938329144514e-5,2.3890938329144517e-5,1.1090616708554884e-6,2.833640749371677e-5
5.8,1.8942472137983257e-5,2.394247213798326e-5,1.0575278620167432e-6,2.8413708206974883e-5
6.0,1.8988962176961998e-5,2.3988962176962004e-5,1.0110378230380013e-6,2.8483443265443e-5
6.2,1.9030902095102105e-5,2.4030902095102108e-5,9.690979048978954e-7,2.8546353142653155e-5
6.4,1.9068737226526463e-5,2.4068737226526466e-5,9.312627734735362e-7,2.8603105839789695e-5
6.6,1.91028693191538e-5,2.4102869319153803e-5,8.971306808462007e-7,2.86543039787307e-5
6.8,1.913366080056122e-5,2.4133660800561226e-5,8.663391994387784e-7,2.8700491200841828e-5
7.0,1.916143862650363e-5,2.4161438626503633e-5,8.385613734963701e-7,2.8742157939755445e-5
7.2,1.918649775255553e-5,2.4186497752555534e-5,8.135022474444705e-7,2.8779746628833297e-5
7.4,1.9209104266084677e-5,2.4209104266084683e-5,7.908957339153251e-7,2.8813656399127015e-5
7.6,1.9229498211693948e-5,2.422949821169395e-5,7.705017883060547e-7,2.884424731754092e-5
7.8,1.9247896140139302e-5,2.4247896140139305e-5,7.521038598606977e-7,2.8871844210208953e-5
8.0,1.9264493407664753e-5,2.4264493407664752e-5,7.355065923352492e-7,2.889674011149713e-5
8.2,1.927946625037119e-5,2.4279466250371193e-5,7.205337496288124e-7,2.8919199375556787e-5
8.4,1.929297365565794e-5,2.4292973655657944e-5,7.070263443420613e-7,2.893946048348691e-5
8.6,1.9305159050315025e-5,2.430515905031503e-5,6.948409496849764e-7,2.8957738575472537e-5
8.8,1.9316151823503425e-5,2.4316151823503428e-5,6.838481764965781e-7,2.8974227735255137e-5
9.0,1.9326068700700406e-5,2.432606870070041e-5,6.739312992995944e-7,2.898910305105061e-5
9.2,1.93350149831178e-5,2.4335014983117804e-5,6.649850168821991e-7,2.90025224746767e-5
9.4,1.934308566580822e-5,2.4343085665808225e-5,6.569143341917815e-7,2.9014628498712327e-5
9.6,1.935036644635164e-5,2.4350366446351642e-5,6.496335536483622e-7,2.9025549669527458e-5
9.8,1.9356934634872045e-5,2.4356934634872048e-5,6.43065365127957e-7,2.903540195230807e-5
10.0,1.936285997490694e-5,2.4362859974906944e-5,6.371400250930584e-7,2.9044289962360412e-5
