time,C1,S1_,x
0.0,0.5,0.0,0.0
0.1,0.5199999999999962,0.020399999999995838,0.03923076923076151
0.2,0.54,0.04159999999999995,0.07703703703703693
0.3,0.5599999999999994,0.06359999999999759,0.1135714285714244
0.4,0.5800000000000023,0.0864000000000024,0.14896551724138288
0.5,0.21000000000000002,0.044100000000000014,0.21000000000000005
0.6,0.22999999999999982,0.052899999999999885,0.22999999999999968
0.7,0.24999999999999825,0.062499999999999015,0.2499999999999978
0.8,0.2699999999999894,0.07289999999999297,0.26999999999998453
0.9,0.2899999999999251,0.08409999999995671,0.28999999999992565
1.0,0.31000000000000005,0.09610000000000002,0.31
