time,c
0.0,0.002
0.12,0.0017526819901587467
0.24,0.001535947079313425
0.36,0.001346013391875146
0.48,0.0011795667152258234
0.6,0.0010337026689838746
0.72,0.0009058760255542644
0.84,0.0007938562976522532
0.96,0.0006956888178418935
1.08,0.0006096606308923889
1.2,0.0005342706039383541
1.32,0.00046820323269341645
1.44,0.000410305686839658
1.56,0.00035956769389225543
1.68,0.0003151039106645762
1.8,0.0002761384746240477
1.92,0.00024199146563497938
2.04,0.00021206704179976214
2.16,0.00018584304243307294
2.28,0.00016286187673352132
2.4,0.00014272253911436976
2.52,0.00012507361194977093
2.64,0.00010960713355477501
2.76,9.605322448745468e-5
2.88,8.417537832650485e-5
3.0,7.376633480375079e-5
3.12,6.464446324891458e-5
3.24,5.66505932493644e-5
3.36,4.964523726045114e-5
3.48,4.350615661955857e-5
3.6,3.812622858378236e-5
3.72,3.341157709736129e-5
3.84,2.9279934720462024e-5
3.96,2.5659207129016703e-5
4.08,2.248621510736364e-5
4.2,1.9705592122667794e-5
4.32,1.726881821075085e-5
4.44,1.5133373334542914e-5
4.56,1.326199544694608e-5
4.68,1.1622030286066728e-5
4.8,1.018486158542661e-5
4.92,8.925411737083354e-6
5.04,7.82170420331143e-6
5.16,6.854480044654759e-6
5.28,6.006861862947815e-6
5.4,5.2640593019968364e-6
5.52,4.613110967117786e-6
5.64,4.042658255586066e-6
5.76,3.5427471583202637e-6
5.88,3.1046545700802062e-6
6.0,2.7207360750388976e-6
