time,A1_,A2_,A3_,A4_
0.0,2.0,3.0,4.0,1.0
0.02,2.0380650327856116,3.0,3.9619349672143884,1.0990066334662227
0.04,2.0725076987687228,3.0,3.9274923012312772,1.1960528042383773
0.06,2.1036727117271936,3.0,3.8963272882728064,1.2911773320788078
0.08,2.131871981585405,3.0,3.868128018414595,1.3844182680661108
0.1,2.1573877361151372,3.0,3.8426122638848628,1.4758129098202022
0.12,2.1804753455565145,3.0,3.8195246544434855,1.565397816414212
0.14,2.2013658784732826,3.0,3.7986341215267174,1.6532088230059605
0.16,2.220268414346638,3.0,3.779731585653362,1.7392810551689286
0.18,2.237372136096348,3.0,3.762627863903652,1.823648942943607
0.2,2.252848223527631,3.0,3.747151776472369,1.9063462346098317
0.22,2.266851566520599,3.0,3.733148433479401,1.9874060101876077
0.24,2.2795223152340123,3.0,3.7204776847659877,2.0668606946672328
0.26,2.290987282780009,3.0,3.709012717219991,2.1447420709821676
0.28,2.3013612144172875,3.0,3.6986387855827125,2.221081292721363
0.3,2.3107479359364476,3.0,3.6892520640635524,2.295908896591358
0.32,2.319241392797167,3.0,3.680758607202833,2.3692548146313612
0.34,2.3269265903781404,3.0,3.6730734096218596,2.441148386186024
0.36,2.3338804447119115,3.0,3.6661195552880885,2.511618369644845
0.38,2.340172552306516,3.0,3.659827447693484,2.5806929539382204
0.4,2.345865886687492,3.0,3.654134113312508,2.648399769821801
0.42,2.351017428681065,3.0,3.648982571318935,2.714765900924706
0.44,2.355678736645458,3.0,3.644321263354542,2.7798178945842547
0.46,2.359896462500503,3.0,3.640103537499497,2.8435817724652206
0.48,2.363712818677379,3.0,3.636287181322621,2.9060830409691127
0.5,2.3671660005549127,3.0,3.6328339994450873,2.9673467014365666
0.52,2.370290568719078,3.0,3.629709431280922,3.027397260149028
0.54,2.373117794902909,3.0,3.626882205097091,3.0862587381300517
0.56,2.3756759749377787,3.0,3.6243240250622213,3.1439546807559244
0.58,2.37799071196569,3.0,3.62200928803431,3.200508167172979
0.6,2.3800851726478953,3.0,3.6199148273521047,3.2559418195298497
0.62,2.381980319037491,3.0,3.618019680962509,3.310277812026524
0.64,2.3836951184045714,3.0,3.6163048815954286,3.363537879784676
0.66,2.3852467330452893,3.0,3.6147532669547107,3.4157433275410747
0.68,2.386650692022908,3.0,3.613349307977092,3.466915038172052
0.7,2.3879210466349345,3.0,3.6120789533650655,3.517073481042952
0.72,2.3890705110103596,3.0,3.6109294889896404,3.566238720200142
0.74,2.390110589391472,3.0,3.609889410608528,3.6144304223948254
0.76,2.391051691243385,3.0,3.608948308756615,3.6616678649504504
0.78,2.391903235416598,3.0,3.608096764583402,3.70796994347386
0.8,2.392673744438928,3.0,3.607326255561072,3.753355179413874
0.82,2.3933709298346892,3.0,3.6066290701653108,3.7978417274699594
0.84,2.3940017692804467,3.0,3.6059982307195533,3.8414473828543647
0.86,2.394572576407883,3.0,3.605427423592117,3.884189588411256
0.88,2.3950890640502704,3.0,3.6049109359497296,3.9260854415920927
0.9,2.3955564013946367,3.0,3.6044435986053633,3.967151701297004
0.92,2.3959792657109866,3.0,3.6040207342890134,4.007404794577427
0.94,2.396361889167523,3.0,3.603638110832477,4.046860823207391
0.96,2.396708101187736,3.0,3.603291898812264,4.085535570124414
0.98,2.397021366778413,3.0,3.602978633221587,4.123444505742765
1.0,2.3973048212067902,3.0,3.6026951787932098,4.160602794142788
