time,S1_,S2_,S3_,C_
0.0,1.0,2.0,1.0,1.0
0.1,0.888476757537465,1.888476757537465,1.111523242462535,0.9900498337491611
0.2,0.799251530174616,1.799251530174616,1.200748469825384,0.9801986733067485
0.3,0.7269597425570736,1.7269597425570737,1.2730402574429263,0.9704455335485015
0.4,0.6677758530548259,1.6677758530548261,1.3322241469451739,0.9607894391523165
0.5,0.6188984877045977,1.6188984877045978,1.3811015122954022,0.9512294245007075
0.6,0.578229887191252,1.5782298871912521,1.4217701128087479,0.9417645335842423
0.7,0.5441690884488488,1.544169088448849,1.455830911551151,0.9323938199059418
0.8,0.5154743413146752,1.5154743413146754,1.4845256586853246,0.9231163463866295
0.9,0.49116910040397493,1.491169100403975,1.508830899596025,0.913931185271222
1.0,0.47047625200312404,1.4704762520031245,1.5295237479968755,0.9048374180359535
1.1,0.45277111162456307,1.4527711116245634,1.5472288883754366,0.8958341352965223
1.2,0.4375471888476897,1.43754718884769,1.56245281115231,0.8869204367171517
1.3,0.4243908165618547,1.424390816561855,1.575609183438145,0.8780954309205556
1.4,0.41296205086831167,1.412962050868312,1.587037949131688,0.8693582353988002
1.5,0.4029800834343856,1.4029800834343862,1.5970199165656138,0.8607079764250523
1.6,0.394211952852983,1.3942119528529835,1.6057880471470165,0.8521437889662059
1.7,0.3864637036356629,1.3864637036356635,1.6135362963643365,0.8436648165963783
1.8,0.37957338635358284,1.3795733863535835,1.6204266136464165,0.8352702114112667
1.9,0.37340546071967556,1.3734054607196762,1.6265945392803238,0.8269591339433572
2.0,0.3678462807397441,1.3678462807397447,1.6321537192602553,0.8187307530779767
2.1,0.36280042398236506,1.3628004239823657,1.6371995760176343,0.8105842459701821
2.2,0.3581876863612795,1.35818768636128,1.64181231363872,0.8025187979624735
2.3,0.3539406067999844,1.353940606799985,1.646059393200015,0.7945336025033292
2.4,0.35000241762459305,1.3500024176245937,1.6499975823754063,0.7866278610665487
2.5,0.34632533983729485,1.3463253398372954,1.6536746601627046,0.7788007830714002
2.6,0.3428691598635001,1.3428691598635007,1.6571308401364993,0.7710515858035617
2.7,0.3396000375536133,1.3396000375536141,1.6603999624463859,0.7633794943368488
2.8,0.33648950529508165,1.3364895052950825,1.6635104947049175,0.7557837414557212
2.9,0.3335136258649905,1.3335136258649913,1.6664863741350087,0.748263567578561
3.0,0.33065228271307257,1.3306522827130736,1.6693477172869264,0.7408182206817138
3.1,0.3278885811340209,1.3278885811340218,1.6721114188659782,0.7334469562242852
3.2,0.32520834257685755,1.3252083425768582,1.6747916574231418,0.7261490370736869
3.3,0.32259967737655376,1.3225996773765545,1.6774003226234455,0.7189237334319223
3.4,0.3200526236490347,1.3200526236490353,1.6799473763509647,0.7117703227626059
3.5,0.31755884209232943,1.31755884209233,1.68244115790767,0.7046880897187097
3.6,0.3151113580799341,1.3151113580799347,1.6848886419200653,0.6976763260710274
3.7,0.31270434379052403,1.3127043437905246,1.6872956562094754,0.690734330637351
3.8,0.31033293424706815,1.3103329342470686,1.6896670657529314,0.6838614092123523
3.9,0.3079930720816517,1.3079930720816524,1.6920069279183476,0.6770568744981612
4.0,0.3056813766338887,1.3056813766338895,1.6943186233661105,0.670320046035636
4.1,0.3033950336575508,1.3033950336575517,1.6966049663424483,0.6636502501363161
4.2,0.30113170247335097,1.3011317024733517,1.6988682975266483,0.6570468198150535
4.3,0.2988894378828998,1.2988894378829006,1.7011105621170994,0.6505090947233134
4.4,0.2966666245636784,1.296666624563679,1.703333375436321,0.6440364210831383
4.5,0.2944619220088721,1.2944619220088727,1.7055380779911273,0.6376281516217702
4.6,0.29227421836851386,1.2922742183685143,1.7077257816314857,0.631283645506923
4.7,0.29010259179744297,1.2901025917974434,1.7098974082025566,0.6250022682826978
4.8,0.2879462781276266,1.287946278127627,1.712053721872373,0.618783391806138
4.9,0.28580464386294346,1.2858046438629438,1.7141953561370562,0.6126263941844132
5.0,0.28367716364578766,1.283677163645788,1.716322836354212,0.6065306597126349
