time,S1_,S2_
0.0,0.015,-0.0
0.2,0.012280961296169728,0.0027190387038302723
0.4,0.010054800690534589,0.004945199309465411
0.6,0.008232174541410396,0.006767825458589604
0.8,0.006739934461758322,0.008260065538241676
1.0,0.005518191617571633,0.009481808382428365
1.2,0.004517913178683031,0.010482086821316967
1.4,0.0036989544591250257,0.011301045540874972
1.6,0.0030284477699205913,0.011971552230079407
1.8,0.0024794833233240214,0.012520516676675975
2.0,0.0020300292485494757,0.01296997075145052
2.2,0.0016620473754351578,0.013337952624564837
2.4,0.0013607692993415227,0.013639230700658473
2.6,0.0011141036732152825,0.013885896326784714
2.8,0.0009121509393783274,0.01408784906062167
3.0,0.0007468060255180066,0.01425319397448199
3.2,0.000611433059675532,0.014388566940324466
3.4,0.0005005990494049892,0.01449940095059501
3.6,0.00040985583670946873,0.01459014416329053
3.8,0.0003355615778425019,0.014664438422157497
4.0,0.00027473458333102736,0.014725265416668971
4.2,0.0002249336523071799,0.014775066347692819
4.4,0.00018416009854602656,0.014815839901453973
4.6,0.00015077753616950368,0.014849222463830497
4.8,0.00012344620573530028,0.014876553794264702
5.0,0.00010106920498628179,0.014898930795013721
5.2,8.274846631141133e-5,0.014917251533688591
5.4,6.774871413918975e-5,0.014932251285860813
5.6,5.546795574724374e-5,0.01494453204425276
5.8,4.5413321180637e-5,0.014954586678819366
6.0,3.718128264999517e-5,0.014962818717350007
6.2,3.044145954443581e-5,0.014969558540455567
6.4,2.492335909760883e-5,0.014975076640902394
6.6,2.040552056321825e-5,0.014979594479436786
6.8,1.6706627217671907e-5,0.014983293372782333
7.0,1.3678229483317615e-5,0.014986321770516687
7.2,1.1198787125650075e-5,0.014988801212874355
7.4,9.168791416943484e-6,0.014990831208583062
7.6,7.5067715016090765e-6,0.014992493228498396
7.8,6.146024684696726e-6,0.014993853975315309
8.0,5.031939418537612e-6,0.01499496806058147
8.2,4.119803549582082e-6,0.014995880196450425
8.4,3.3730098626826744e-6,0.014996626990137325
8.6,2.761586905013646e-6,0.014997238413094995
8.8,2.260996126432112e-6,0.014997739003873576
9.0,1.8511470613001625e-6,0.014998148852938709
9.2,1.5155910275563752e-6,0.014998484408972453
9.4,1.240860983349461e-6,0.014998759139016658
9.6,1.0159310473627895e-6,0.014998984068952644
9.8,8.317739914826378e-7,0.014999168226008525
10.0,6.809989464372589e-7,0.01499931900105357
